Orthogroup	HF920633.1	L63545.1
OG0000000	HF920633.1_00044	L63545.1_00007
OG0000001	HF920633.1_00069	L63545.1_00035
OG0000002	HF920633.1_00073	L63545.1_00079
OG0000003	HF920633.1_00127	L63545.1_00076
OG0000004	HF920633.1_00079	L63545.1_00001
OG0000005	HF920633.1_00085	L63545.1_00056
OG0000006	HF920633.1_00025	L63545.1_00093
OG0000007	HF920633.1_00091	L63545.1_00090
OG0000008	HF920633.1_00043	L63545.1_00108
OG0000009	HF920633.1_00122	L63545.1_00024
OG0000011	HF920633.1_00118	L63545.1_00069
OG0000012	HF920633.1_00001	L63545.1_00071
OG0000013	HF920633.1_00067	L63545.1_00004
OG0000014	HF920633.1_00138	L63545.1_00030
OG0000015	HF920633.1_00058	L63545.1_00110
OG0000016	HF920633.1_00094	L63545.1_00073
OG0000017	HF920633.1_00158	L63545.1_00072
OG0000018	HF920633.1_00003	L63545.1_00068
OG0000019	HF920633.1_00163	L63545.1_00009
OG0000020	HF920633.1_00080	L63545.1_00098
OG0000021	HF920633.1_00097	L63545.1_00043
OG0000022	HF920633.1_00175	L63545.1_00013
OG0000023	HF920633.1_00017	L63545.1_00054
OG0000024	HF920633.1_00062	L63545.1_00015
OG0000113	HF920633.1_00145	L63545.1_00088, L63545.1_00051, L63545.1_00047, L63545.1_00050
OG0000113	HF920633.1_00086	L63545.1_00005
OG0000134	HF920633.1_00135	L63545.1_00092
OG0000135	HF920633.1_00064	L63545.1_00016
OG0000137	HF920633.1_00132	L63545.1_00100
OG0000138	HF920633.1_00053	L63545.1_00023
OG0000155	HF920633.1_00036	L63545.1_00012
OG0000158	HF920633.1_00024	L63545.1_00018
OG0000176	HF920633.1_00171	L63545.1_00066
OG0000178	HF920633.1_00034	L63545.1_00048
OG0000210	HF920633.1_00139	L63545.1_00105
