Orthogroup	OL774653.1	AF303741.1
OG0000000	OL774653.1_00051	AF303741.1_00079, AF303741.1_00152
OG0000001	OL774653.1_00026	AF303741.1_00200, AF303741.1_00047
OG0000002	OL774653.1_00025	AF303741.1_00125
OG0000003	OL774653.1_00032	AF303741.1_00035
OG0000004	OL774653.1_00006	AF303741.1_00080
OG0000005	OL774653.1_00114	AF303741.1_00129
OG0000006	OL774653.1_00094	AF303741.1_00132
OG0000007	OL774653.1_00108	AF303741.1_00149
OG0000008	OL774653.1_00050	AF303741.1_00165
OG0000009	OL774653.1_00008	AF303741.1_00176
OG0000011	OL774653.1_00082	AF303741.1_00006
OG0000012	OL774653.1_00039	AF303741.1_00011
OG0000013	OL774653.1_00076	AF303741.1_00023
OG0000014	OL774653.1_00016	AF303741.1_00026
OG0000015	OL774653.1_00017	AF303741.1_00046
OG0000016	OL774653.1_00105	AF303741.1_00062
OG0000017	OL774653.1_00054	AF303741.1_00063
OG0000018	OL774653.1_00001	AF303741.1_00081
OG0000019	OL774653.1_00104	AF303741.1_00137
OG0000020	OL774653.1_00052	AF303741.1_00156
OG0000021	OL774653.1_00023	AF303741.1_00158
OG0000022	OL774653.1_00056	AF303741.1_00189
OG0000023	OL774653.1_00065	AF303741.1_00154
OG0000024	OL774653.1_00047	AF303741.1_00168
OG0000025	OL774653.1_00083	AF303741.1_00051
