Orthogroup	Chlor_IIV22_HF920633.1	Lymph_LCD4_MN803438.1
OG0000000	Chlor_IIV22_HF920633.1_00044	Lymph_LCD4_MN803438.1_00124
OG0000001	Chlor_IIV22_HF920633.1_00073	Lymph_LCD4_MN803438.1_00023
OG0000002	Chlor_IIV22_HF920633.1_00069	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101
OG0000003	Chlor_IIV22_HF920633.1_00127	Lymph_LCD4_MN803438.1_00113
OG0000004	Chlor_IIV22_HF920633.1_00079	Lymph_LCD4_MN803438.1_00104
OG0000005	Chlor_IIV22_HF920633.1_00091	Lymph_LCD4_MN803438.1_00027
OG0000006	Chlor_IIV22_HF920633.1_00043	Lymph_LCD4_MN803438.1_00106
OG0000007	Chlor_IIV22_HF920633.1_00025	Lymph_LCD4_MN803438.1_00142
OG0000008	Chlor_IIV22_HF920633.1_00122	Lymph_LCD4_MN803438.1_00109
OG0000009	Chlor_IIV22_HF920633.1_00085	Lymph_LCD4_MN803438.1_00071
OG0000011	Chlor_IIV22_HF920633.1_00163	Lymph_LCD4_MN803438.1_00097
OG0000012	Chlor_IIV22_HF920633.1_00175	Lymph_LCD4_MN803438.1_00013
OG0000013	Chlor_IIV22_HF920633.1_00003	Lymph_LCD4_MN803438.1_00051
OG0000014	Chlor_IIV22_HF920633.1_00094	Lymph_LCD4_MN803438.1_00122
OG0000015	Chlor_IIV22_HF920633.1_00080	Lymph_LCD4_MN803438.1_00068
OG0000016	Chlor_IIV22_HF920633.1_00001	Lymph_LCD4_MN803438.1_00128
OG0000017	Chlor_IIV22_HF920633.1_00067	Lymph_LCD4_MN803438.1_00007
OG0000018	Chlor_IIV22_HF920633.1_00138	Lymph_LCD4_MN803438.1_00070
OG0000019	Chlor_IIV22_HF920633.1_00118	Lymph_LCD4_MN803438.1_00049
OG0000020	Chlor_IIV22_HF920633.1_00058	Lymph_LCD4_MN803438.1_00046
OG0000021	Chlor_IIV22_HF920633.1_00158	Lymph_LCD4_MN803438.1_00035
OG0000022	Chlor_IIV22_HF920633.1_00097	Lymph_LCD4_MN803438.1_00089
OG0000023	Chlor_IIV22_HF920633.1_00017	Lymph_LCD4_MN803438.1_00077
OG0000024	Chlor_IIV22_HF920633.1_00062	Lymph_LCD4_MN803438.1_00024
OG0000113	Chlor_IIV22_HF920633.1_00086	Lymph_LCD4_MN803438.1_00112
OG0000113	Chlor_IIV22_HF920633.1_00145	Lymph_LCD4_MN803438.1_00021, Lymph_LCD4_MN803438.1_00012, Lymph_LCD4_MN803438.1_00120, Lymph_LCD4_MN803438.1_00107, Lymph_LCD4_MN803438.1_00094, Lymph_LCD4_MN803438.1_00125
OG0000133	Chlor_IIV22_HF920633.1_00064	Lymph_LCD4_MN803438.1_00006
OG0000134	Chlor_IIV22_HF920633.1_00135	Lymph_LCD4_MN803438.1_00115
OG0000137	Chlor_IIV22_HF920633.1_00132	Lymph_LCD4_MN803438.1_00105
OG0000138	Chlor_IIV22_HF920633.1_00053	Lymph_LCD4_MN803438.1_00137
OG0000139	Chlor_IIV22_HF920633.1_00156	Lymph_LCD4_MN803438.1_00005
OG0000152	Chlor_IIV22_HF920633.1_00024	Lymph_LCD4_MN803438.1_00003
OG0000154	Chlor_IIV22_HF920633.1_00036	Lymph_LCD4_MN803438.1_00135
OG0000165	Chlor_IIV22_HF920633.1_00034	Lymph_LCD4_MN803438.1_00092
OG0000166	Chlor_IIV22_HF920633.1_00171	Lymph_LCD4_MN803438.1_00028
OG0000198	Chlor_IIV22_HF920633.1_00139	Lymph_LCD4_MN803438.1_00045
