Orthogroup	NC_005946.1	MK098187.1
OG0000000	NC_005946.1_00010	MK098187.1_00033
OG0000001	NC_005946.1_00053	MK098187.1_00008
OG0000002	NC_005946.1_00091	MK098187.1_00007
OG0000003	NC_005946.1_00057	MK098187.1_00015
OG0000004	NC_005946.1_00028	MK098187.1_00112
OG0000005	NC_005946.1_00014	MK098187.1_00095
OG0000006	NC_005946.1_00042	MK098187.1_00076
OG0000007	NC_005946.1_00002	MK098187.1_00090
OG0000008	NC_005946.1_00095	MK098187.1_00032
OG0000009	NC_005946.1_00092	MK098187.1_00114
OG0000011	NC_005946.1_00011	MK098187.1_00064
OG0000012	NC_005946.1_00060	MK098187.1_00022
OG0000013	NC_005946.1_00022	MK098187.1_00058
OG0000014	NC_005946.1_00016	MK098187.1_00122
OG0000015	NC_005946.1_00021	MK098187.1_00123
OG0000016	NC_005946.1_00082	MK098187.1_00087
OG0000017	NC_005946.1_00087	MK098187.1_00036
OG0000018	NC_005946.1_00023	MK098187.1_00107
OG0000019	NC_005946.1_00094	MK098187.1_00086
OG0000020	NC_005946.1_00083	MK098187.1_00034
OG0000021	NC_005946.1_00038	MK098187.1_00005
OG0000022	NC_005946.1_00061	MK098187.1_00038
OG0000023	NC_005946.1_00089	MK098187.1_00047
OG0000024	NC_005946.1_00067	MK098187.1_00029
OG0000026	NC_005946.1_00086	MK098187.1_00110
OG0000027	NC_005946.1_00049	MK098187.1_00088
OG0000028	NC_005946.1_00085	MK098187.1_00050
OG0000112	NC_005946.1_00006	MK098187.1_00080
