locus_tag	ftype	length_bp	gene	EC_number	COG	product
MT798582_00001	CDS	255				hypothetical protein
MT798582_00002	CDS	1653				hypothetical protein
MT798582_00003	CDS	534				hypothetical protein
MT798582_00004	CDS	2847				hypothetical protein
MT798582_00005	CDS	210				hypothetical protein
MT798582_00006	CDS	237				hypothetical protein
MT798582_00007	CDS	339				hypothetical protein
MT798582_00008	CDS	588				hypothetical protein
MT798582_00009	CDS	792				hypothetical protein
MT798582_00010	CDS	957				hypothetical protein
MT798582_00011	CDS	294				hypothetical protein
MT798582_00012	CDS	1398				hypothetical protein
MT798582_00013	CDS	333				hypothetical protein
MT798582_00014	CDS	261				hypothetical protein
MT798582_00015	CDS	393				hypothetical protein
MT798582_00016	CDS	219				hypothetical protein
MT798582_00017	CDS	1548				hypothetical protein
MT798582_00018	CDS	1458				hypothetical protein
MT798582_00019	CDS	1362	MCP			Major capsid protein
MT798582_00020	CDS	306				hypothetical protein
MT798582_00021	CDS	570				hypothetical protein
MT798582_00022	CDS	504				hypothetical protein
MT798582_00023	CDS	306				hypothetical protein
MT798582_00024	CDS	468				hypothetical protein
MT798582_00025	CDS	1077				hypothetical protein
MT798582_00026	CDS	825				hypothetical protein
MT798582_00027	CDS	381				hypothetical protein
MT798582_00028	CDS	720				hypothetical protein
MT798582_00029	CDS	531				hypothetical protein
MT798582_00030	CDS	507				hypothetical protein
MT798582_00031	CDS	288				hypothetical protein
MT798582_00032	CDS	1314				hypothetical protein
MT798582_00033	CDS	270				hypothetical protein
MT798582_00034	CDS	675				hypothetical protein
MT798582_00035	CDS	1410				hypothetical protein
MT798582_00036	CDS	1011				hypothetical protein
MT798582_00037	CDS	2583				hypothetical protein
MT798582_00038	CDS	504				hypothetical protein
MT798582_00039	CDS	744				hypothetical protein
MT798582_00040	CDS	843				hypothetical protein
MT798582_00041	CDS	156				hypothetical protein
MT798582_00042	CDS	2763				hypothetical protein
MT798582_00043	CDS	630				hypothetical protein
MT798582_00044	CDS	873				hypothetical protein
MT798582_00045	CDS	2271				hypothetical protein
MT798582_00046	CDS	807				hypothetical protein
MT798582_00047	CDS	513				hypothetical protein
MT798582_00048	CDS	261				hypothetical protein
MT798582_00049	CDS	648				hypothetical protein
MT798582_00050	CDS	942				hypothetical protein
MT798582_00051	CDS	945				hypothetical protein
MT798582_00052	CDS	192				hypothetical protein
MT798582_00053	CDS	453				hypothetical protein
MT798582_00054	CDS	429				hypothetical protein
MT798582_00055	CDS	171				hypothetical protein
MT798582_00056	CDS	354				hypothetical protein
MT798582_00057	CDS	210				hypothetical protein
MT798582_00058	CDS	243				hypothetical protein
MT798582_00059	CDS	684				hypothetical protein
MT798582_00060	CDS	915				hypothetical protein
MT798582_00061	CDS	801				hypothetical protein
MT798582_00062	CDS	363				hypothetical protein
MT798582_00063	CDS	600				hypothetical protein
MT798582_00064	CDS	1293				hypothetical protein
MT798582_00065	CDS	1146				hypothetical protein
MT798582_00066	CDS	879				hypothetical protein
MT798582_00067	CDS	1440				hypothetical protein
MT798582_00068	CDS	1350				hypothetical protein
MT798582_00069	CDS	1026				hypothetical protein
MT798582_00070	CDS	1134				hypothetical protein
MT798582_00071	CDS	3159	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
MT798582_00072	CDS	903				hypothetical protein
MT798582_00073	CDS	576				hypothetical protein
MT798582_00074	CDS	585				hypothetical protein
MT798582_00075	CDS	204				hypothetical protein
MT798582_00076	CDS	3507				hypothetical protein
MT798582_00077	CDS	897				hypothetical protein
MT798582_00078	CDS	321				hypothetical protein
MT798582_00079	CDS	474				hypothetical protein
MT798582_00080	CDS	642		1.17.4.1		Ribonucleoside-diphosphate reductase small chain
MT798582_00081	CDS	480				hypothetical protein
MT798582_00082	CDS	108				hypothetical protein
MT798582_00083	CDS	186				hypothetical protein
	CRISPR	188				
MT798582_00084	CDS	204				hypothetical protein
MT798582_00085	CDS	225				hypothetical protein
MT798582_00086	CDS	465				hypothetical protein
MT798582_00087	CDS	1335				hypothetical protein
MT798582_00088	CDS	2973				hypothetical protein
MT798582_00089	CDS	1023				hypothetical protein
MT798582_00090	CDS	420				hypothetical protein
MT798582_00091	CDS	1611				hypothetical protein
MT798582_00092	CDS	516				hypothetical protein
MT798582_00093	CDS	732				hypothetical protein
MT798582_00094	CDS	1434				hypothetical protein
MT798582_00095	CDS	582				hypothetical protein
MT798582_00096	CDS	1044				hypothetical protein
MT798582_00097	CDS	216				hypothetical protein
MT798582_00098	CDS	288				hypothetical protein
MT798582_00099	CDS	1473				hypothetical protein
MT798582_00100	CDS	2649				hypothetical protein
MT798582_00101	CDS	369				hypothetical protein
MT798582_00102	CDS	1482				hypothetical protein
MT798582_00103	CDS	372				hypothetical protein
MT798582_00104	CDS	780				hypothetical protein
MT798582_00105	CDS	435				hypothetical protein
MT798582_00106	CDS	1446				hypothetical protein
MT798582_00107	CDS	516				hypothetical protein
MT798582_00108	CDS	570				hypothetical protein
MT798582_00109	CDS	324				hypothetical protein
MT798582_00110	CDS	492				hypothetical protein
MT798582_00111	CDS	738				hypothetical protein
MT798582_00112	CDS	1164				hypothetical protein
MT798582_00113	CDS	501				hypothetical protein
MT798582_00114	CDS	183				hypothetical protein
MT798582_00115	CDS	186				hypothetical protein
MT798582_00116	CDS	1002				hypothetical protein
MT798582_00117	CDS	1572				hypothetical protein
MT798582_00118	CDS	414				hypothetical protein
MT798582_00119	CDS	771				hypothetical protein
MT798582_00120	CDS	468				hypothetical protein
MT798582_00121	CDS	531				hypothetical protein
MT798582_00122	CDS	1305				hypothetical protein
MT798582_00123	CDS	360				hypothetical protein
MT798582_00124	CDS	1107				hypothetical protein
MT798582_00125	CDS	498				hypothetical protein
