Orthogroup	Chlor_AMIV_KF938901.1	Irido_IIV31_HF920637.1
OG0000000	Chlor_AMIV_KF938901.1_00126	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	Chlor_AMIV_KF938901.1_00044	Irido_IIV31_HF920637.1_00143
OG0000002	Chlor_AMIV_KF938901.1_00080	Irido_IIV31_HF920637.1_00059
OG0000003	Chlor_AMIV_KF938901.1_00005	Irido_IIV31_HF920637.1_00159
OG0000004	Chlor_AMIV_KF938901.1_00043	Irido_IIV31_HF920637.1_00025
OG0000005	Chlor_AMIV_KF938901.1_00053	Irido_IIV31_HF920637.1_00172
OG0000006	Chlor_AMIV_KF938901.1_00067	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	Chlor_AMIV_KF938901.1_00072	Irido_IIV31_HF920637.1_00121
OG0000008	Chlor_AMIV_KF938901.1_00114	Irido_IIV31_HF920637.1_00153
OG0000009	Chlor_AMIV_KF938901.1_00125	Irido_IIV31_HF920637.1_00221
OG0000011	Chlor_AMIV_KF938901.1_00012	Irido_IIV31_HF920637.1_00197
OG0000012	Chlor_AMIV_KF938901.1_00023	Irido_IIV31_HF920637.1_00213
OG0000013	Chlor_AMIV_KF938901.1_00025	Irido_IIV31_HF920637.1_00111
OG0000014	Chlor_AMIV_KF938901.1_00046	Irido_IIV31_HF920637.1_00079
OG0000015	Chlor_AMIV_KF938901.1_00047	Irido_IIV31_HF920637.1_00031
OG0000016	Chlor_AMIV_KF938901.1_00054	Irido_IIV31_HF920637.1_00001
OG0000017	Chlor_AMIV_KF938901.1_00060	Irido_IIV31_HF920637.1_00017
OG0000018	Chlor_AMIV_KF938901.1_00074	Irido_IIV31_HF920637.1_00108
OG0000019	Chlor_AMIV_KF938901.1_00092	Irido_IIV31_HF920637.1_00217
OG0000020	Chlor_AMIV_KF938901.1_00095	Irido_IIV31_HF920637.1_00152
OG0000021	Chlor_AMIV_KF938901.1_00123	Irido_IIV31_HF920637.1_00073
OG0000022	Chlor_AMIV_KF938901.1_00124	Irido_IIV31_HF920637.1_00041
OG0000023	Chlor_AMIV_KF938901.1_00031	Irido_IIV31_HF920637.1_00033
OG0000024	Chlor_AMIV_KF938901.1_00094	Irido_IIV31_HF920637.1_00061
OG0000025	Chlor_AMIV_KF938901.1_00093	Irido_IIV31_HF920637.1_00156
OG0000113	Chlor_AMIV_KF938901.1_00104	Irido_IIV31_HF920637.1_00148
OG0000119	Chlor_AMIV_KF938901.1_00085, Chlor_AMIV_KF938901.1_00140	Irido_IIV31_HF920637.1_00184, Irido_IIV31_HF920637.1_00034, Irido_IIV31_HF920637.1_00206, Irido_IIV31_HF920637.1_00096, Irido_IIV31_HF920637.1_00158, Irido_IIV31_HF920637.1_00208, Irido_IIV31_HF920637.1_00130, Irido_IIV31_HF920637.1_00102
OG0000123	Chlor_AMIV_KF938901.1_00049, Chlor_AMIV_KF938901.1_00115, Chlor_AMIV_KF938901.1_00091, Chlor_AMIV_KF938901.1_00020	Irido_IIV31_HF920637.1_00029
OG0000133	Chlor_AMIV_KF938901.1_00007	Irido_IIV31_HF920637.1_00014
OG0000134	Chlor_AMIV_KF938901.1_00086	Irido_IIV31_HF920637.1_00219
OG0000137	Chlor_AMIV_KF938901.1_00048	Irido_IIV31_HF920637.1_00105
OG0000138	Chlor_AMIV_KF938901.1_00065	Irido_IIV31_HF920637.1_00181
OG0000139	Chlor_AMIV_KF938901.1_00108	Irido_IIV31_HF920637.1_00123
OG0000148	Chlor_AMIV_KF938901.1_00069	Irido_IIV31_HF920637.1_00060
OG0000153	Chlor_AMIV_KF938901.1_00066	Irido_IIV31_HF920637.1_00071, Irido_IIV31_HF920637.1_00162
OG0000154	Chlor_AMIV_KF938901.1_00106	Irido_IIV31_HF920637.1_00168
OG0000155	Chlor_AMIV_KF938901.1_00112	Irido_IIV31_HF920637.1_00011, Irido_IIV31_HF920637.1_00180
OG0000156	Chlor_AMIV_KF938901.1_00118	Irido_IIV31_HF920637.1_00150
OG0000164	Chlor_AMIV_KF938901.1_00105, Chlor_AMIV_KF938901.1_00006	Irido_IIV31_HF920637.1_00069
OG0000167	Chlor_AMIV_KF938901.1_00075	Irido_IIV31_HF920637.1_00140
OG0000169	Chlor_AMIV_KF938901.1_00102	Irido_IIV31_HF920637.1_00056
OG0000170	Chlor_AMIV_KF938901.1_00103	Irido_IIV31_HF920637.1_00049
OG0000171	Chlor_AMIV_KF938901.1_00117	Irido_IIV31_HF920637.1_00095
OG0000172	Chlor_AMIV_KF938901.1_00121	Irido_IIV31_HF920637.1_00045
OG0000173	Chlor_AMIV_KF938901.1_00128	Irido_IIV31_HF920637.1_00120
OG0000174	Chlor_AMIV_KF938901.1_00150	Irido_IIV31_HF920637.1_00067
OG0000184	Chlor_AMIV_KF938901.1_00008	Irido_IIV31_HF920637.1_00009
OG0000185	Chlor_AMIV_KF938901.1_00010	Irido_IIV31_HF920637.1_00035
OG0000186	Chlor_AMIV_KF938901.1_00014	Irido_IIV31_HF920637.1_00212
OG0000187	Chlor_AMIV_KF938901.1_00063	Irido_IIV31_HF920637.1_00019
OG0000188	Chlor_AMIV_KF938901.1_00070	Irido_IIV31_HF920637.1_00160
OG0000190	Chlor_AMIV_KF938901.1_00077	Irido_IIV31_HF920637.1_00070
OG0000191	Chlor_AMIV_KF938901.1_00079	Irido_IIV31_HF920637.1_00194
OG0000192	Chlor_AMIV_KF938901.1_00099	Irido_IIV31_HF920637.1_00048
OG0000193	Chlor_AMIV_KF938901.1_00100	Irido_IIV31_HF920637.1_00047
OG0000194	Chlor_AMIV_KF938901.1_00113	Irido_IIV31_HF920637.1_00149
OG0000195	Chlor_AMIV_KF938901.1_00116	Irido_IIV31_HF920637.1_00020
OG0000196	Chlor_AMIV_KF938901.1_00133	Irido_IIV31_HF920637.1_00139
OG0000197	Chlor_AMIV_KF938901.1_00134	Irido_IIV31_HF920637.1_00193
OG0000198	Chlor_AMIV_KF938901.1_00137	Irido_IIV31_HF920637.1_00024
OG0000199	Chlor_AMIV_KF938901.1_00139	Irido_IIV31_HF920637.1_00043
OG0000200	Chlor_AMIV_KF938901.1_00141	Irido_IIV31_HF920637.1_00100
OG0000201	Chlor_AMIV_KF938901.1_00146	Irido_IIV31_HF920637.1_00192
OG0000202	Chlor_AMIV_KF938901.1_00148	Irido_IIV31_HF920637.1_00005
OG0000203	Chlor_AMIV_KF938901.1_00152	Irido_IIV31_HF920637.1_00085
OG0000215	Chlor_AMIV_KF938901.1_00035	Irido_IIV31_HF920637.1_00195
OG0000216	Chlor_AMIV_KF938901.1_00045	Irido_IIV31_HF920637.1_00144
OG0000217	Chlor_AMIV_KF938901.1_00057	Irido_IIV31_HF920637.1_00188
OG0000218	Chlor_AMIV_KF938901.1_00062	Irido_IIV31_HF920637.1_00012
OG0000219	Chlor_AMIV_KF938901.1_00082	Irido_IIV31_HF920637.1_00187
OG0000220	Chlor_AMIV_KF938901.1_00090	Irido_IIV31_HF920637.1_00167
OG0000221	Chlor_AMIV_KF938901.1_00098	Irido_IIV31_HF920637.1_00204
OG0000222	Chlor_AMIV_KF938901.1_00107	Irido_IIV31_HF920637.1_00022
OG0000223	Chlor_AMIV_KF938901.1_00109	Irido_IIV31_HF920637.1_00074
OG0000224	Chlor_AMIV_KF938901.1_00130	Irido_IIV31_HF920637.1_00211
OG0000225	Chlor_AMIV_KF938901.1_00136	Irido_IIV31_HF920637.1_00124
OG0000226	Chlor_AMIV_KF938901.1_00154	Irido_IIV31_HF920637.1_00021
OG0000227	Chlor_AMIV_KF938901.1_00155	Irido_IIV31_HF920637.1_00040
OG0000282	Chlor_AMIV_KF938901.1_00015	Irido_IIV31_HF920637.1_00053
OG0000283	Chlor_AMIV_KF938901.1_00016	Irido_IIV31_HF920637.1_00174
OG0000290	Chlor_AMIV_KF938901.1_00122	Irido_IIV31_HF920637.1_00063
OG0000333	Chlor_AMIV_KF938901.1_00157	Irido_IIV31_HF920637.1_00078
