Orthogroup	AF303741.1	BD143114.1
OG0000000	AF303741.1_00079, AF303741.1_00152	BD143114.1_00045
OG0000001	AF303741.1_00200, AF303741.1_00047	BD143114.1_00067
OG0000002	AF303741.1_00125	BD143114.1_00068
OG0000003	AF303741.1_00035	BD143114.1_00060
OG0000004	AF303741.1_00080	BD143114.1_00087
OG0000005	AF303741.1_00129	BD143114.1_00104
OG0000006	AF303741.1_00132	BD143114.1_00001
OG0000007	AF303741.1_00149	BD143114.1_00109
OG0000008	AF303741.1_00165	BD143114.1_00046
OG0000009	AF303741.1_00176	BD143114.1_00085
OG0000011	AF303741.1_00006	BD143114.1_00013
OG0000012	AF303741.1_00011	BD143114.1_00053
OG0000013	AF303741.1_00023	BD143114.1_00019
OG0000014	AF303741.1_00026	BD143114.1_00077
OG0000015	AF303741.1_00046	BD143114.1_00076
OG0000016	AF303741.1_00062	BD143114.1_00113
OG0000017	AF303741.1_00063	BD143114.1_00042
OG0000018	AF303741.1_00081	BD143114.1_00092
OG0000019	AF303741.1_00137	BD143114.1_00114
OG0000020	AF303741.1_00156	BD143114.1_00044
OG0000021	AF303741.1_00158	BD143114.1_00070
OG0000022	AF303741.1_00189	BD143114.1_00040
OG0000023	AF303741.1_00154	BD143114.1_00031
OG0000024	AF303741.1_00168	BD143114.1_00049
OG0000025	AF303741.1_00051	BD143114.1_00012
