Orthogroup	MF599468.1	OP009387.1
OG0000000	MF599468.1_00057, MF599468.1_00056	OP009387.1_00030
OG0000001	MF599468.1_00152	OP009387.1_00007
OG0000003	MF599468.1_00163	OP009387.1_00008
OG0000004	MF599468.1_00011	OP009387.1_00015
OG0000005	MF599468.1_00030	OP009387.1_00029
OG0000006	MF599468.1_00010	OP009387.1_00077
OG0000007	MF599468.1_00174	OP009387.1_00091
OG0000008	MF599468.1_00092	OP009387.1_00112
OG0000009	MF599468.1_00075	OP009387.1_00113
OG0000010	MF599468.1_00116	OP009387.1_00005
OG0000011	MF599468.1_00112	OP009387.1_00023
OG0000012	MF599468.1_00090	OP009387.1_00031
OG0000013	MF599468.1_00035	OP009387.1_00033
OG0000014	MF599468.1_00071	OP009387.1_00035
OG0000015	MF599468.1_00033	OP009387.1_00057
OG0000016	MF599468.1_00149	OP009387.1_00064
OG0000017	MF599468.1_00106	OP009387.1_00087
OG0000018	MF599468.1_00046	OP009387.1_00088
OG0000019	MF599468.1_00117	OP009387.1_00107
OG0000020	MF599468.1_00122	OP009387.1_00121
OG0000021	MF599468.1_00009	OP009387.1_00122
OG0000022	MF599468.1_00171	OP009387.1_00044
OG0000023	MF599468.1_00154	OP009387.1_00095
OG0000024	MF599468.1_00039	OP009387.1_00110
OG0000046	MF599468.1_00013	OP009387.1_00058
OG0000069	MF599468.1_00131	OP009387.1_00098
