Orthogroup	OL774655.1	AY521625.1
OG0000000	OL774655.1_00034	AY521625.1_00091
OG0000001	OL774655.1_00008	AY521625.1_00077
OG0000002	OL774655.1_00007	AY521625.1_00064
OG0000003	OL774655.1_00015	AY521625.1_00130
OG0000004	OL774655.1_00113	AY521625.1_00069, AY521625.1_00070
OG0000005	OL774655.1_00096	AY521625.1_00100
OG0000006	OL774655.1_00078	AY521625.1_00051
OG0000007	OL774655.1_00091	AY521625.1_00016
OG0000008	OL774655.1_00033	AY521625.1_00085
OG0000009	OL774655.1_00115	AY521625.1_00142
OG0000011	OL774655.1_00066	AY521625.1_00053
OG0000012	OL774655.1_00022	AY521625.1_00110
OG0000013	OL774655.1_00060	AY521625.1_00048
OG0000014	OL774655.1_00123	AY521625.1_00115
OG0000015	OL774655.1_00124	AY521625.1_00035
OG0000016	OL774655.1_00088	AY521625.1_00073
OG0000017	OL774655.1_00037	AY521625.1_00059
OG0000018	OL774655.1_00108	AY521625.1_00047
OG0000019	OL774655.1_00087	AY521625.1_00086
OG0000020	OL774655.1_00035	AY521625.1_00074
OG0000021	OL774655.1_00005	AY521625.1_00054
OG0000022	OL774655.1_00039	AY521625.1_00065
OG0000023	OL774655.1_00048	AY521625.1_00062
OG0000024	OL774655.1_00030	AY521625.1_00042
OG0000026	OL774655.1_00111	AY521625.1_00060
OG0000027	OL774655.1_00089	AY521625.1_00022
OG0000030	OL774655.1_00001	AY521625.1_00004
