Orthogroup	ON740976	KF938901
OG0000000	MK689686.1_00029 hypothetical protein	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	MK689686.1_00014 hypothetical protein	KF938901.1_00005 hypothetical protein
OG0000002	MK689686.1_00008 hypothetical protein	KF938901.1_00080 hypothetical protein
OG0000003	MK689686.1_00028 hypothetical protein	KF938901.1_00067 hypothetical protein
OG0000004	MK689686.1_00112 hypothetical protein	KF938901.1_00114 hypothetical protein
OG0000005	MK689686.1_00062 hypothetical protein	KF938901.1_00092 hypothetical protein
OG0000006	MK689686.1_00021 hypothetical protein	KF938901.1_00054 hypothetical protein
OG0000007	MK689686.1_00056 hypothetical protein	KF938901.1_00060 hypothetical protein
OG0000008	MK689686.1_00120 hypothetical protein	KF938901.1_00074 hypothetical protein
OG0000009	MK689686.1_00121 hypothetical protein	KF938901.1_00095 hypothetical protein
OG0000010	MK689686.1_00032 hypothetical protein	KF938901.1_00123 hypothetical protein
OG0000011	MK689686.1_00105 hypothetical protein	KF938901.1_00025 hypothetical protein
OG0000012	MK689686.1_00007 Major capsid protein	KF938901.1_00044 Major capsid protein
OG0000013	MK689686.1_00084 hypothetical protein	KF938901.1_00012 hypothetical protein
OG0000014	MK689686.1_00088 hypothetical protein	KF938901.1_00053 hypothetical protein
OG0000015	MK689686.1_00030 hypothetical protein	KF938901.1_00047 hypothetical protein
OG0000016	MK689686.1_00005 hypothetical protein	KF938901.1_00124 hypothetical protein
OG0000017	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000018	MK689686.1_00085 hypothetical protein	KF938901.1_00046 hypothetical protein
OG0000019	MK689686.1_00110 hypothetical protein	KF938901.1_00043 hypothetical protein
OG0000020	MK689686.1_00093 hypothetical protein	KF938901.1_00125 hypothetical protein
OG0000021	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000023	MK689686.1_00074 hypothetical protein	KF938901.1_00072 hypothetical protein
OG0000026	MK689686.1_00063 hypothetical protein	KF938901.1_00093 hypothetical protein
