Orthogroup	Daphi_LS484712.1	Decap_MF599468.1
OG0000000	Daphi_LS484712.1_00114	Decap_MF599468.1_00057, Decap_MF599468.1_00056
OG0000001	Daphi_LS484712.1_00142	Decap_MF599468.1_00152
OG0000002	Daphi_LS484712.1_00095	Decap_MF599468.1_00163
OG0000003	Daphi_LS484712.1_00187	Decap_MF599468.1_00011
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	Decap_MF599468.1_00174
OG0000006	Daphi_LS484712.1_00248	Decap_MF599468.1_00030
OG0000007	Daphi_LS484712.1_00040	Decap_MF599468.1_00010
OG0000008	Daphi_LS484712.1_00130	Decap_MF599468.1_00075
OG0000009	Daphi_LS484712.1_00256	Decap_MF599468.1_00154
OG0000011	Daphi_LS484712.1_00192	Decap_MF599468.1_00106
OG0000012	Daphi_LS484712.1_00194	Decap_MF599468.1_00071
OG0000013	Daphi_LS484712.1_00053	Decap_MF599468.1_00117
OG0000014	Daphi_LS484712.1_00048	Decap_MF599468.1_00046
OG0000015	Daphi_LS484712.1_00188	Decap_MF599468.1_00090
OG0000016	Daphi_LS484712.1_00200	Decap_MF599468.1_00112
OG0000017	Daphi_LS484712.1_00143	Decap_MF599468.1_00033
OG0000018	Daphi_LS484712.1_00202	Decap_MF599468.1_00122
OG0000019	Daphi_LS484712.1_00203	Decap_MF599468.1_00149
OG0000020	Daphi_LS484712.1_00135	Decap_MF599468.1_00009
OG0000021	Daphi_LS484712.1_00240	Decap_MF599468.1_00035
OG0000022	Daphi_LS484712.1_00096	Decap_MF599468.1_00116
OG0000023	Daphi_LS484712.1_00117	Decap_MF599468.1_00171
OG0000133	Daphi_LS484712.1_00197	Decap_MF599468.1_00027
OG0000134	Daphi_LS484712.1_00057	Decap_MF599468.1_00002
OG0000138	Daphi_LS484712.1_00063	Decap_MF599468.1_00051
OG0000148	Daphi_LS484712.1_00133	Decap_MF599468.1_00161
OG0000169	Daphi_LS484712.1_00116	Decap_MF599468.1_00141
OG0000170	Daphi_LS484712.1_00195	Decap_MF599468.1_00162
OG0000171	Daphi_LS484712.1_00140	Decap_MF599468.1_00004
OG0000172	Daphi_LS484712.1_00112	Decap_MF599468.1_00105
OG0000173	Daphi_LS484712.1_00212	Decap_MF599468.1_00067
OG0000174	Daphi_LS484712.1_00184	Decap_MF599468.1_00155
