Orthogroup	L63545.1	AF371960.1
OG0000000	L63545.1_00007	AF371960.1_00031
OG0000001	L63545.1_00079	AF371960.1_00007
OG0000003	L63545.1_00035	AF371960.1_00008
OG0000004	L63545.1_00076	AF371960.1_00015
OG0000005	L63545.1_00108	AF371960.1_00030
OG0000006	L63545.1_00093	AF371960.1_00078
OG0000007	L63545.1_00090	AF371960.1_00092
OG0000008	L63545.1_00001	AF371960.1_00112
OG0000009	L63545.1_00024	AF371960.1_00113
OG0000010	L63545.1_00043	AF371960.1_00005
OG0000011	L63545.1_00071	AF371960.1_00021
OG0000012	L63545.1_00098	AF371960.1_00032
OG0000013	L63545.1_00072	AF371960.1_00034
OG0000014	L63545.1_00013	AF371960.1_00036
OG0000015	L63545.1_00004	AF371960.1_00057
OG0000016	L63545.1_00069	AF371960.1_00064
OG0000017	L63545.1_00009	AF371960.1_00088
OG0000018	L63545.1_00073	AF371960.1_00089
OG0000019	L63545.1_00068	AF371960.1_00107
OG0000020	L63545.1_00030	AF371960.1_00121
OG0000021	L63545.1_00110	AF371960.1_00122
OG0000022	L63545.1_00054	AF371960.1_00045
OG0000023	L63545.1_00056	AF371960.1_00096
OG0000024	L63545.1_00002	AF371960.1_00110
OG0000026	L63545.1_00058	AF371960.1_00090
OG0000027	L63545.1_00003	AF371960.1_00048
