Orthogroup	KT804738.1	OM037668.1
OG0000000	KT804738.1_00029	OM037668.1_00035
OG0000001	KT804738.1_00008	OM037668.1_00056
OG0000002	KT804738.1_00007	OM037668.1_00057
OG0000003	KT804738.1_00015	OM037668.1_00050
OG0000004	KT804738.1_00109	OM037668.1_00076
OG0000005	KT804738.1_00092	OM037668.1_00080
OG0000006	KT804738.1_00072	OM037668.1_00021
OG0000007	KT804738.1_00086	OM037668.1_00084
OG0000008	KT804738.1_00028	OM037668.1_00038
OG0000009	KT804738.1_00111	OM037668.1_00077
OG0000010	KT804738.1_00073	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006
OG0000011	KT804738.1_00060	OM037668.1_00009
OG0000012	KT804738.1_00021	OM037668.1_00041
OG0000013	KT804738.1_00055	OM037668.1_00098
OG0000014	KT804738.1_00119	OM037668.1_00078
OG0000015	KT804738.1_00120	OM037668.1_00004
OG0000016	KT804738.1_00083	OM037668.1_00089
OG0000017	KT804738.1_00032	OM037668.1_00124
OG0000018	KT804738.1_00104	OM037668.1_00073
OG0000019	KT804738.1_00082	OM037668.1_00090
OG0000020	KT804738.1_00030	OM037668.1_00123
OG0000021	KT804738.1_00005	OM037668.1_00013
OG0000022	KT804738.1_00034	OM037668.1_00127
OG0000023	KT804738.1_00043	OM037668.1_00113
OG0000024	KT804738.1_00025	OM037668.1_00064
OG0000025	KT804738.1_00061	OM037668.1_00024
OG0000026	KT804738.1_00107	OM037668.1_00074
OG0000027	KT804738.1_00084	OM037668.1_00087
OG0000028	KT804738.1_00046	OM037668.1_00110
OG0000029	KT804738.1_00058	OM037668.1_00095
OG0000030	KT804738.1_00001	OM037668.1_00030
OG0000031	KT804738.1_00006	OM037668.1_00011
OG0000032	KT804738.1_00077	OM037668.1_00019
OG0000033	KT804738.1_00085	OM037668.1_00086
OG0000034	KT804738.1_00121	OM037668.1_00028
OG0000035	KT804738.1_00013	OM037668.1_00051
OG0000036	KT804738.1_00014	OM037668.1_00005
OG0000037	KT804738.1_00019	OM037668.1_00046
OG0000038	KT804738.1_00020	OM037668.1_00045
OG0000039	KT804738.1_00022	OM037668.1_00040
OG0000040	KT804738.1_00023	OM037668.1_00048
OG0000041	KT804738.1_00031	OM037668.1_00003
OG0000042	KT804738.1_00035	OM037668.1_00122
OG0000043	KT804738.1_00047	OM037668.1_00106
OG0000044	KT804738.1_00048	OM037668.1_00105
OG0000045	KT804738.1_00053	OM037668.1_00100
OG0000046	KT804738.1_00054	OM037668.1_00099
OG0000048	KT804738.1_00056	OM037668.1_00085
OG0000049	KT804738.1_00057	OM037668.1_00096
OG0000050	KT804738.1_00074	OM037668.1_00020
OG0000051	KT804738.1_00078	OM037668.1_00018
OG0000052	KT804738.1_00079	OM037668.1_00130
OG0000053	KT804738.1_00091	OM037668.1_00081
OG0000054	KT804738.1_00093	OM037668.1_00032
OG0000055	KT804738.1_00096	OM037668.1_00033
OG0000056	KT804738.1_00108	OM037668.1_00075
OG0000057	KT804738.1_00113	OM037668.1_00079
OG0000058	KT804738.1_00115	OM037668.1_00134
OG0000059	KT804738.1_00002	OM037668.1_00031
OG0000060	KT804738.1_00010	OM037668.1_00054
OG0000061	KT804738.1_00018	OM037668.1_00047
OG0000062	KT804738.1_00087	OM037668.1_00083
OG0000096	KT804738.1_00117	OM037668.1_00091
OG0000116	KT804738.1_00052	OM037668.1_00101
