Orthogroup	Irido_IIV31_HF920637.1	MCV_ML1_SDDV_MN562489.1
OG0000000	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	MCV_ML1_SDDV_MN562489.1_00102
OG0000001	Irido_IIV31_HF920637.1_00143	MCV_ML1_SDDV_MN562489.1_00080
OG0000002	Irido_IIV31_HF920637.1_00059	MCV_ML1_SDDV_MN562489.1_00081
OG0000003	Irido_IIV31_HF920637.1_00159	MCV_ML1_SDDV_MN562489.1_00087
OG0000004	Irido_IIV31_HF920637.1_00025	MCV_ML1_SDDV_MN562489.1_00060
OG0000005	Irido_IIV31_HF920637.1_00172	MCV_ML1_SDDV_MN562489.1_00052
OG0000006	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	MCV_ML1_SDDV_MN562489.1_00099
OG0000007	Irido_IIV31_HF920637.1_00121	MCV_ML1_SDDV_MN562489.1_00116
OG0000008	Irido_IIV31_HF920637.1_00153	MCV_ML1_SDDV_MN562489.1_00059
OG0000009	Irido_IIV31_HF920637.1_00221	MCV_ML1_SDDV_MN562489.1_00056
OG0000011	Irido_IIV31_HF920637.1_00197	MCV_ML1_SDDV_MN562489.1_00046
OG0000012	Irido_IIV31_HF920637.1_00213	MCV_ML1_SDDV_MN562489.1_00008
OG0000013	Irido_IIV31_HF920637.1_00111	MCV_ML1_SDDV_MN562489.1_00063
OG0000014	Irido_IIV31_HF920637.1_00079	MCV_ML1_SDDV_MN562489.1_00047
OG0000015	Irido_IIV31_HF920637.1_00031	MCV_ML1_SDDV_MN562489.1_00012
OG0000016	Irido_IIV31_HF920637.1_00001	MCV_ML1_SDDV_MN562489.1_00096
OG0000017	Irido_IIV31_HF920637.1_00017	MCV_ML1_SDDV_MN562489.1_00038
OG0000018	Irido_IIV31_HF920637.1_00108	MCV_ML1_SDDV_MN562489.1_00058
OG0000019	Irido_IIV31_HF920637.1_00217	MCV_ML1_SDDV_MN562489.1_00128
OG0000020	Irido_IIV31_HF920637.1_00152	MCV_ML1_SDDV_MN562489.1_00133
OG0000021	Irido_IIV31_HF920637.1_00073	MCV_ML1_SDDV_MN562489.1_00011
OG0000022	Irido_IIV31_HF920637.1_00041	MCV_ML1_SDDV_MN562489.1_00124
OG0000023	Irido_IIV31_HF920637.1_00033	MCV_ML1_SDDV_MN562489.1_00023
OG0000024	Irido_IIV31_HF920637.1_00061	MCV_ML1_SDDV_MN562489.1_00073
OG0000025	Irido_IIV31_HF920637.1_00156	MCV_ML1_SDDV_MN562489.1_00113
OG0000030	Irido_IIV31_HF920637.1_00127	MCV_ML1_SDDV_MN562489.1_00126
OG0000139	Irido_IIV31_HF920637.1_00123	MCV_ML1_SDDV_MN562489.1_00069
OG0000179	Irido_IIV31_HF920637.1_00013	MCV_ML1_SDDV_MN562489.1_00115
