Orthogroup	OQ475017.1	L63545.1
OG0000000	OQ475017.1_00030	L63545.1_00007
OG0000001	OQ475017.1_00007	L63545.1_00079
OG0000003	OQ475017.1_00008	L63545.1_00035
OG0000004	OQ475017.1_00015	L63545.1_00076
OG0000005	OQ475017.1_00029	L63545.1_00108
OG0000006	OQ475017.1_00073	L63545.1_00093
OG0000007	OQ475017.1_00087	L63545.1_00090
OG0000008	OQ475017.1_00110	L63545.1_00001
OG0000009	OQ475017.1_00112	L63545.1_00024
OG0000010	OQ475017.1_00005	L63545.1_00043
OG0000011	OQ475017.1_00022	L63545.1_00071
OG0000012	OQ475017.1_00031	L63545.1_00098
OG0000013	OQ475017.1_00033	L63545.1_00072
OG0000014	OQ475017.1_00035	L63545.1_00013
OG0000015	OQ475017.1_00056	L63545.1_00004
OG0000016	OQ475017.1_00062	L63545.1_00069
OG0000017	OQ475017.1_00083	L63545.1_00009
OG0000018	OQ475017.1_00084	L63545.1_00073
OG0000019	OQ475017.1_00105	L63545.1_00068
OG0000020	OQ475017.1_00120	L63545.1_00030
OG0000021	OQ475017.1_00121	L63545.1_00110
OG0000022	OQ475017.1_00044	L63545.1_00054
OG0000023	OQ475017.1_00093	L63545.1_00056
OG0000024	OQ475017.1_00108	L63545.1_00002
OG0000026	OQ475017.1_00085	L63545.1_00058
OG0000027	OQ475017.1_00047	L63545.1_00003
