Orthogroup	MN803438	LS484712
OG0000000	MN803438.1_00124 hypothetical protein	LS484712.1_00114 hypothetical protein
OG0000001	MN803438.1_00101 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000002	MN803438.1_00113 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000003	MN803438.1_00106 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	MN803438.1_00109 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000005	MN803438.1_00089 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000006	MN803438.1_00023 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000007	MN803438.1_00128 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000008	MN803438.1_00068 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000009	MN803438.1_00013 hypothetical protein	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000010	MN803438.1_00007 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000011	MN803438.1_00049 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000012	MN803438.1_00097 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000013	MN803438.1_00027 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000014	MN803438.1_00051 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000015	MN803438.1_00070 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000016	MN803438.1_00046 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000017	MN803438.1_00024 hypothetical protein	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000018	MN803438.1_00035 hypothetical protein	LS484712.1_00240 hypothetical protein
OG0000019	MN803438.1_00142 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000024	MN803438.1_00077 hypothetical protein	LS484712.1_00117 hypothetical protein
OG0000132	MN803438.1_00115 hypothetical protein	LS484712.1_00057 hypothetical protein
OG0000135	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit
OG0000136	MN803438.1_00137 hypothetical protein	LS484712.1_00063 hypothetical protein
OG0000143	MN803438.1_00006 hypothetical protein	LS484712.1_00197 hypothetical protein
