Orthogroup	AY779031.1	MN803438.1
OG0000000	AY779031.1_00034	MN803438.1_00124
OG0000001	AY779031.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000002	AY779031.1_00007	MN803438.1_00023
OG0000003	AY779031.1_00015, AY779031.1_00016	MN803438.1_00113
OG0000004	AY779031.1_00121	MN803438.1_00104
OG0000005	AY779031.1_00103	MN803438.1_00071
OG0000006	AY779031.1_00083	MN803438.1_00142
OG0000007	AY779031.1_00098	MN803438.1_00027
OG0000008	AY779031.1_00033	MN803438.1_00106
OG0000009	AY779031.1_00122	MN803438.1_00109
OG0000011	AY779031.1_00068	MN803438.1_00049
OG0000012	AY779031.1_00023	MN803438.1_00128
OG0000013	AY779031.1_00061	MN803438.1_00007
OG0000014	AY779031.1_00129	MN803438.1_00070
OG0000015	AY779031.1_00130	MN803438.1_00046
OG0000016	AY779031.1_00095	MN803438.1_00122
OG0000017	AY779031.1_00037	MN803438.1_00035
OG0000018	AY779031.1_00116	MN803438.1_00051
OG0000019	AY779031.1_00094	MN803438.1_00097
OG0000020	AY779031.1_00035	MN803438.1_00068
OG0000021	AY779031.1_00005	MN803438.1_00089
OG0000022	AY779031.1_00039	MN803438.1_00013
OG0000023	AY779031.1_00049	MN803438.1_00077
OG0000026	AY779031.1_00119	MN803438.1_00126
OG0000027	AY779031.1_00096	MN803438.1_00037
OG0000028	AY779031.1_00052	MN803438.1_00054
OG0000031	AY779031.1_00006	MN803438.1_00145
