Orthogroup	MF599468.1	ON740976.1
OG0000000	MF599468.1_00057, MF599468.1_00056	ON740976.1_00030
OG0000001	MF599468.1_00163	ON740976.1_00008
OG0000002	MF599468.1_00152	ON740976.1_00007
OG0000003	MF599468.1_00011	ON740976.1_00014
OG0000004	MF599468.1_00092	ON740976.1_00111
OG0000005	MF599468.1_00154	ON740976.1_00094
OG0000006	MF599468.1_00010	ON740976.1_00075
OG0000007	MF599468.1_00174	ON740976.1_00089
OG0000008	MF599468.1_00030	ON740976.1_00029
OG0000009	MF599468.1_00075	ON740976.1_00113
OG0000011	MF599468.1_00149	ON740976.1_00063
OG0000012	MF599468.1_00112	ON740976.1_00021
OG0000013	MF599468.1_00033	ON740976.1_00057
OG0000014	MF599468.1_00122	ON740976.1_00121
OG0000015	MF599468.1_00009	ON740976.1_00122
OG0000016	MF599468.1_00046	ON740976.1_00086
OG0000017	MF599468.1_00035	ON740976.1_00033
OG0000018	MF599468.1_00117	ON740976.1_00106
OG0000019	MF599468.1_00106	ON740976.1_00085
OG0000020	MF599468.1_00090	ON740976.1_00031
OG0000021	MF599468.1_00116	ON740976.1_00005
OG0000022	MF599468.1_00071	ON740976.1_00035
OG0000023	MF599468.1_00171	ON740976.1_00044
OG0000026	MF599468.1_00039	ON740976.1_00109
OG0000047	MF599468.1_00013	ON740976.1_00058
OG0000069	MF599468.1_00131	ON740976.1_00097
