Orthogroup	Daphi_LS484712.1	Lymph_LDV1_L63545.1
OG0000000	Daphi_LS484712.1_00114	Lymph_LDV1_L63545.1_00007
OG0000001	Daphi_LS484712.1_00142	Lymph_LDV1_L63545.1_00079
OG0000002	Daphi_LS484712.1_00095	Lymph_LDV1_L63545.1_00035
OG0000003	Daphi_LS484712.1_00187	Lymph_LDV1_L63545.1_00076
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	Lymph_LDV1_L63545.1_00090
OG0000006	Daphi_LS484712.1_00248	Lymph_LDV1_L63545.1_00108
OG0000007	Daphi_LS484712.1_00040	Lymph_LDV1_L63545.1_00093
OG0000008	Daphi_LS484712.1_00130	Lymph_LDV1_L63545.1_00024
OG0000009	Daphi_LS484712.1_00256	Lymph_LDV1_L63545.1_00056
OG0000011	Daphi_LS484712.1_00192	Lymph_LDV1_L63545.1_00009
OG0000012	Daphi_LS484712.1_00194	Lymph_LDV1_L63545.1_00013
OG0000013	Daphi_LS484712.1_00053	Lymph_LDV1_L63545.1_00068
OG0000014	Daphi_LS484712.1_00048	Lymph_LDV1_L63545.1_00073
OG0000015	Daphi_LS484712.1_00188	Lymph_LDV1_L63545.1_00098
OG0000016	Daphi_LS484712.1_00200	Lymph_LDV1_L63545.1_00071
OG0000017	Daphi_LS484712.1_00143	Lymph_LDV1_L63545.1_00004
OG0000018	Daphi_LS484712.1_00202	Lymph_LDV1_L63545.1_00030
OG0000019	Daphi_LS484712.1_00203	Lymph_LDV1_L63545.1_00069
OG0000020	Daphi_LS484712.1_00135	Lymph_LDV1_L63545.1_00110
OG0000021	Daphi_LS484712.1_00240	Lymph_LDV1_L63545.1_00072
OG0000022	Daphi_LS484712.1_00096	Lymph_LDV1_L63545.1_00043
OG0000023	Daphi_LS484712.1_00117	Lymph_LDV1_L63545.1_00054
OG0000024	Daphi_LS484712.1_00149	Lymph_LDV1_L63545.1_00015
OG0000133	Daphi_LS484712.1_00197	Lymph_LDV1_L63545.1_00016
OG0000134	Daphi_LS484712.1_00057	Lymph_LDV1_L63545.1_00092
OG0000137	Daphi_LS484712.1_00251	Lymph_LDV1_L63545.1_00100
OG0000138	Daphi_LS484712.1_00063	Lymph_LDV1_L63545.1_00023
