locus_tag	ftype	length_bp	gene	EC_number	COG	product
NC_027778.1_00001	CDS	1101				hypothetical protein
NC_027778.1_00002	CDS	135				hypothetical protein
NC_027778.1_00003	CDS	363				hypothetical protein
NC_027778.1_00004	CDS	1446				hypothetical protein
NC_027778.1_00005	CDS	1608				hypothetical protein
NC_027778.1_00006	CDS	456				hypothetical protein
NC_027778.1_00007	CDS	384				hypothetical protein
NC_027778.1_00008	CDS	384				hypothetical protein
NC_027778.1_00009	CDS	186				hypothetical protein
NC_027778.1_00010	CDS	354				hypothetical protein
NC_027778.1_00011	CDS	354				hypothetical protein
NC_027778.1_00012	CDS	378				hypothetical protein
NC_027778.1_00013	CDS	252				hypothetical protein
NC_027778.1_00014	CDS	396				hypothetical protein
NC_027778.1_00015	CDS	195				hypothetical protein
NC_027778.1_00016	CDS	891				hypothetical protein
NC_027778.1_00017	CDS	819				hypothetical protein
NC_027778.1_00018	CDS	618				hypothetical protein
NC_027778.1_00019	CDS	270				hypothetical protein
NC_027778.1_00020	CDS	840				hypothetical protein
NC_027778.1_00021	CDS	2880				hypothetical protein
NC_027778.1_00022	CDS	288				hypothetical protein
NC_027778.1_00023	CDS	378				hypothetical protein
NC_027778.1_00024	CDS	381				hypothetical protein
NC_027778.1_00025	CDS	561				hypothetical protein
NC_027778.1_00026	CDS	441				hypothetical protein
NC_027778.1_00027	CDS	774				hypothetical protein
NC_027778.1_00028	CDS	1965				hypothetical protein
NC_027778.1_00029	CDS	441				hypothetical protein
NC_027778.1_00030	CDS	1677				hypothetical protein
NC_027778.1_00031	CDS	513				hypothetical protein
NC_027778.1_00032	CDS	1059				hypothetical protein
NC_027778.1_00033	CDS	180				hypothetical protein
NC_027778.1_00034	CDS	951				hypothetical protein
NC_027778.1_00035	CDS	1137				hypothetical protein
NC_027778.1_00036	CDS	810				hypothetical protein
NC_027778.1_00037	CDS	693				hypothetical protein
NC_027778.1_00038	CDS	738				hypothetical protein
NC_027778.1_00039	CDS	1044				hypothetical protein
NC_027778.1_00040	CDS	2616				hypothetical protein
NC_027778.1_00041	CDS	519				hypothetical protein
NC_027778.1_00042	CDS	744				hypothetical protein
NC_027778.1_00043	CDS	2733				hypothetical protein
NC_027778.1_00044	CDS	360				hypothetical protein
NC_027778.1_00045	CDS	909				hypothetical protein
NC_027778.1_00046	CDS	948	SERP2			Serine proteinase inhibitor 2
NC_027778.1_00047	CDS	543				hypothetical protein
NC_027778.1_00048	CDS	789				hypothetical protein
NC_027778.1_00049	CDS	864		2.1.1.45		Thymidylate synthase
NC_027778.1_00050	CDS	699				hypothetical protein
NC_027778.1_00051	CDS	192				hypothetical protein
NC_027778.1_00052	CDS	471				hypothetical protein
NC_027778.1_00053	CDS	621				hypothetical protein
NC_027778.1_00054	CDS	966		1.17.4.1		Ribonucleoside-diphosphate reductase small chain
NC_027778.1_00055	CDS	648				hypothetical protein
NC_027778.1_00056	CDS	915				hypothetical protein
NC_027778.1_00057	CDS	825				hypothetical protein
NC_027778.1_00058	CDS	549				hypothetical protein
NC_027778.1_00059	CDS	408				hypothetical protein
NC_027778.1_00060	CDS	567				hypothetical protein
NC_027778.1_00061	CDS	1362	MCP			Major capsid protein
NC_027778.1_00062	CDS	1551				hypothetical protein
NC_027778.1_00063	CDS	1344				hypothetical protein
NC_027778.1_00064	CDS	216				hypothetical protein
NC_027778.1_00065	CDS	270				hypothetical protein
NC_027778.1_00066	CDS	378				hypothetical protein
NC_027778.1_00067	CDS	270				hypothetical protein
NC_027778.1_00068	CDS	1608				hypothetical protein
NC_027778.1_00069	CDS	312				hypothetical protein
NC_027778.1_00070	CDS	1866				hypothetical protein
NC_027778.1_00071	CDS	840				hypothetical protein
NC_027778.1_00072	CDS	615				hypothetical protein
NC_027778.1_00073	CDS	297				hypothetical protein
NC_027778.1_00074	CDS	234				hypothetical protein
NC_027778.1_00075	tRNA	76				tRNA-Ile(tat)
NC_027778.1_00076	CDS	210				hypothetical protein
NC_027778.1_00077	CDS	2907				hypothetical protein
NC_027778.1_00078	CDS	579				hypothetical protein
NC_027778.1_00079	CDS	1074				hypothetical protein
NC_027778.1_00080	CDS	918				hypothetical protein
NC_027778.1_00081	CDS	639				hypothetical protein
