Orthogroup	LS484712	OM037668
OG0000000	LS484712.1_00114 hypothetical protein	OM037668.1_00035 hypothetical protein
OG0000001	LS484712.1_00095 hypothetical protein	OM037668.1_00056 hypothetical protein
OG0000002	LS484712.1_00187 hypothetical protein	OM037668.1_00050 hypothetical protein
OG0000003	LS484712.1_00248 hypothetical protein	SDDV_ORF038 Flap endonuclease
OG0000004	LS484712.1_00096 hypothetical protein	OM037668.1_00013 hypothetical protein
OG0000005	LS484712.1_00142 Major capsid protein	OM037668.1_00057 Major capsid protein
OG0000006	LS484712.1_00200 hypothetical protein	OM037668.1_00041 hypothetical protein
OG0000007	LS484712.1_00188 hypothetical protein	OM037668.1_00123 hypothetical protein
OG0000008	LS484712.1_00240 hypothetical protein	OM037668.1_00124 hypothetical protein
OG0000009	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000010	LS484712.1_00143 hypothetical protein	OM037668.1_00098 hypothetical protein
OG0000011	LS484712.1_00203 hypothetical protein	OM037668.1_00009 hypothetical protein
OG0000012	LS484712.1_00192 hypothetical protein	OM037668.1_00090 hypothetical protein
OG0000013	LS484712.1_00050 hypothetical protein	OM037668.1_00084 hypothetical protein
OG0000014	LS484712.1_00053 hypothetical protein	OM037668.1_00073 hypothetical protein
OG0000015	LS484712.1_00202 hypothetical protein	OM037668.1_00078 hypothetical protein
OG0000016	LS484712.1_00135 hypothetical protein	OM037668.1_00004 hypothetical protein
OG0000017	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000018	LS484712.1_00040 hypothetical protein	OM037668.1_00021 hypothetical protein
OG0000022	LS484712.1_00117 hypothetical protein	OM037668.1_00113 hypothetical protein
OG0000023	LS484712.1_00130 hypothetical protein	OM037668.1_00077 hypothetical protein
OG0000230	LS484712.1_00024 Golgi anti-apoptotic protein	OM037668.1_00017 Golgi anti-apoptotic protein
