Orthogroup	AY521625.1	KF938901.1
OG0000000	AY521625.1_00091	KF938901.1_00126
OG0000001	AY521625.1_00077	KF938901.1_00080
OG0000002	AY521625.1_00064	KF938901.1_00044
OG0000003	AY521625.1_00130	KF938901.1_00005
OG0000004	AY521625.1_00069, AY521625.1_00070	KF938901.1_00043
OG0000005	AY521625.1_00100	KF938901.1_00125
OG0000006	AY521625.1_00051	KF938901.1_00072
OG0000007	AY521625.1_00016	KF938901.1_00053
OG0000008	AY521625.1_00085	KF938901.1_00067
OG0000009	AY521625.1_00142	KF938901.1_00114
OG0000011	AY521625.1_00053	KF938901.1_00092
OG0000012	AY521625.1_00110	KF938901.1_00054
OG0000013	AY521625.1_00048	KF938901.1_00060
OG0000014	AY521625.1_00115	KF938901.1_00074
OG0000015	AY521625.1_00035	KF938901.1_00095
OG0000016	AY521625.1_00073	KF938901.1_00046
OG0000017	AY521625.1_00059	KF938901.1_00123
OG0000018	AY521625.1_00047	KF938901.1_00025
OG0000019	AY521625.1_00086	KF938901.1_00012
OG0000020	AY521625.1_00074	KF938901.1_00047
OG0000021	AY521625.1_00054	KF938901.1_00124
OG0000022	AY521625.1_00065	KF938901.1_00023
OG0000023	AY521625.1_00062	KF938901.1_00031
OG0000024	AY521625.1_00042	KF938901.1_00094
OG0000113	AY521625.1_00036	KF938901.1_00104
OG0000134	AY521625.1_00098	KF938901.1_00086
OG0000135	AY521625.1_00102	KF938901.1_00007
OG0000137	AY521625.1_00056	KF938901.1_00048
OG0000148	AY521625.1_00133	KF938901.1_00069
OG0000156	AY521625.1_00044	KF938901.1_00118
OG0000158	AY521625.1_00018	KF938901.1_00027
OG0000172	AY521625.1_00014	KF938901.1_00101
OG0000176	AY521625.1_00005	KF938901.1_00017
OG0000178	AY521625.1_00140	KF938901.1_00009
