Orthogroup	AY894343.1	NC_005946.1
OG0000000	AY894343.1_00029	NC_005946.1_00010
OG0000001	AY894343.1_00007	NC_005946.1_00091
OG0000003	AY894343.1_00008	NC_005946.1_00053
OG0000004	AY894343.1_00015	NC_005946.1_00057
OG0000005	AY894343.1_00028	NC_005946.1_00095
OG0000006	AY894343.1_00076	NC_005946.1_00042
OG0000007	AY894343.1_00090	NC_005946.1_00002
OG0000008	AY894343.1_00113	NC_005946.1_00028
OG0000009	AY894343.1_00115	NC_005946.1_00092
OG0000010	AY894343.1_00005	NC_005946.1_00038
OG0000011	AY894343.1_00021	NC_005946.1_00060
OG0000012	AY894343.1_00030	NC_005946.1_00083
OG0000013	AY894343.1_00032	NC_005946.1_00087
OG0000014	AY894343.1_00034	NC_005946.1_00061
OG0000015	AY894343.1_00056	NC_005946.1_00022
OG0000016	AY894343.1_00063	NC_005946.1_00011
OG0000017	AY894343.1_00086	NC_005946.1_00094
OG0000018	AY894343.1_00087	NC_005946.1_00082
OG0000019	AY894343.1_00108	NC_005946.1_00023
OG0000020	AY894343.1_00123	NC_005946.1_00016
OG0000021	AY894343.1_00124	NC_005946.1_00021
OG0000022	AY894343.1_00043	NC_005946.1_00089
OG0000023	AY894343.1_00096	NC_005946.1_00014
OG0000024	AY894343.1_00111	NC_005946.1_00086
OG0000026	AY894343.1_00088	NC_005946.1_00049
OG0000027	AY894343.1_00046	NC_005946.1_00085
OG0000112	AY894343.1_00080	NC_005946.1_00006
