Orthogroup	OQ475017	HF920637
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	HF920637.1_00153 HF920637.1 - hypothetical protein translation, HF920637.1_00015 HF920637.1 - hypothetical protein translation
OG0000005	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000006	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000007	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000008	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000009	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000011	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000012	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000013	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000014	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000015	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000016	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000017	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000019	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000020	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000021	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000022	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000024	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000025	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation	HF920637.1_00156 HF920637.1 - hypothetical protein translation
