Orthogroup	KF938901.1	MK689685.1
OG0000000	KF938901.1_00126	MK689685.1_00029
OG0000001	KF938901.1_00080	MK689685.1_00008
OG0000002	KF938901.1_00044	MK689685.1_00007
OG0000003	KF938901.1_00005	MK689685.1_00015
OG0000004	KF938901.1_00043	MK689685.1_00110
OG0000005	KF938901.1_00125	MK689685.1_00094
OG0000006	KF938901.1_00072	MK689685.1_00075
OG0000007	KF938901.1_00053	MK689685.1_00089
OG0000008	KF938901.1_00067	MK689685.1_00028
OG0000009	KF938901.1_00114	MK689685.1_00111
OG0000011	KF938901.1_00092	MK689685.1_00061
OG0000012	KF938901.1_00054	MK689685.1_00021
OG0000013	KF938901.1_00060	MK689685.1_00054
OG0000014	KF938901.1_00074	MK689685.1_00118
OG0000015	KF938901.1_00095	MK689685.1_00119
OG0000016	KF938901.1_00046	MK689685.1_00086
OG0000017	KF938901.1_00123	MK689685.1_00032
OG0000018	KF938901.1_00025	MK689685.1_00105
OG0000019	KF938901.1_00012	MK689685.1_00085
OG0000020	KF938901.1_00047	MK689685.1_00030
OG0000021	KF938901.1_00124	MK689685.1_00005
OG0000022	KF938901.1_00023	MK689685.1_00034
OG0000023	KF938901.1_00031	MK689685.1_00043
OG0000025	KF938901.1_00093	MK689685.1_00062
