Orthogroup	HF920633.1	KC244182.1
OG0000000	HF920633.1_00044	KC244182.1_00029
OG0000001	HF920633.1_00069	KC244182.1_00008
OG0000002	HF920633.1_00073	KC244182.1_00007
OG0000003	HF920633.1_00127	KC244182.1_00014
OG0000004	HF920633.1_00079	KC244182.1_00112
OG0000005	HF920633.1_00085	KC244182.1_00095
OG0000006	HF920633.1_00025	KC244182.1_00076
OG0000007	HF920633.1_00091	KC244182.1_00090
OG0000008	HF920633.1_00043	KC244182.1_00028
OG0000009	HF920633.1_00122	KC244182.1_00114
OG0000011	HF920633.1_00118	KC244182.1_00063
OG0000012	HF920633.1_00001	KC244182.1_00022
OG0000013	HF920633.1_00067	KC244182.1_00056
OG0000014	HF920633.1_00138	KC244182.1_00121
OG0000015	HF920633.1_00058	KC244182.1_00122
OG0000016	HF920633.1_00094	KC244182.1_00087
OG0000017	HF920633.1_00158	KC244182.1_00032
OG0000018	HF920633.1_00003	KC244182.1_00107
OG0000019	HF920633.1_00163	KC244182.1_00086
OG0000020	HF920633.1_00080	KC244182.1_00030
OG0000021	HF920633.1_00097	KC244182.1_00005
OG0000022	HF920633.1_00175	KC244182.1_00034
OG0000023	HF920633.1_00017	KC244182.1_00043
OG0000024	HF920633.1_00062	KC244182.1_00025
OG0000025	HF920633.1_00047	KC244182.1_00064
