Orthogroup	MT986830.1	OL310752.1
OG0000000	MT986830.1_00033	OL310752.1_00108, OL310752.1_00113
OG0000001	MT986830.1_00007	OL310752.1_00019
OG0000002	MT986830.1_00081	OL310752.1_00077, OL310752.1_00120
OG0000003	MT986830.1_00008	OL310752.1_00018
OG0000004	MT986830.1_00015	OL310752.1_00012
OG0000005	MT986830.1_00032	OL310752.1_00107
OG0000006	MT986830.1_00080	OL310752.1_00078
OG0000007	MT986830.1_00094	OL310752.1_00042
OG0000008	MT986830.1_00116	OL310752.1_00060
OG0000009	MT986830.1_00117	OL310752.1_00116
OG0000010	MT986830.1_00005	OL310752.1_00021
OG0000011	MT986830.1_00022	OL310752.1_00004
OG0000012	MT986830.1_00034	OL310752.1_00114
OG0000013	MT986830.1_00036	OL310752.1_00085
OG0000014	MT986830.1_00038	OL310752.1_00083
OG0000015	MT986830.1_00059	OL310752.1_00096
OG0000016	MT986830.1_00065	OL310752.1_00027
OG0000017	MT986830.1_00090	OL310752.1_00046
OG0000018	MT986830.1_00091	OL310752.1_00045
OG0000019	MT986830.1_00111	OL310752.1_00065
OG0000020	MT986830.1_00125	OL310752.1_00071
OG0000021	MT986830.1_00126	OL310752.1_00072
OG0000022	MT986830.1_00046	OL310752.1_00052
OG0000023	MT986830.1_00100	OL310752.1_00036
OG0000024	MT986830.1_00114	OL310752.1_00062
OG0000025	MT986830.1_00066	OL310752.1_00028
OG0000026	MT986830.1_00092	OL310752.1_00044
OG0000027	MT986830.1_00049	OL310752.1_00087
OG0000028	MT986830.1_00006	OL310752.1_00020
OG0000029	MT986830.1_00063	OL310752.1_00025
OG0000030	MT986830.1_00001	OL310752.1_00074
OG0000031	MT986830.1_00085	OL310752.1_00124
OG0000032	MT986830.1_00093	OL310752.1_00043
OG0000033	MT986830.1_00127	OL310752.1_00073
OG0000034	MT986830.1_00013	OL310752.1_00014
OG0000035	MT986830.1_00014	OL310752.1_00013
OG0000036	MT986830.1_00019	OL310752.1_00007
OG0000037	MT986830.1_00020	OL310752.1_00006
OG0000038	MT986830.1_00023	OL310752.1_00003
OG0000039	MT986830.1_00024	OL310752.1_00002
OG0000040	MT986830.1_00035	OL310752.1_00115
OG0000041	MT986830.1_00039	OL310752.1_00082
OG0000042	MT986830.1_00051	OL310752.1_00088
OG0000043	MT986830.1_00052	OL310752.1_00089
OG0000044	MT986830.1_00057	OL310752.1_00094
OG0000045	MT986830.1_00058	OL310752.1_00095
OG0000046	MT986830.1_00060	OL310752.1_00022
OG0000047	MT986830.1_00061	OL310752.1_00023
OG0000048	MT986830.1_00062	OL310752.1_00024
OG0000049	MT986830.1_00082	OL310752.1_00121
OG0000050	MT986830.1_00086	OL310752.1_00123
OG0000051	MT986830.1_00087	OL310752.1_00049
OG0000052	MT986830.1_00099	OL310752.1_00037
OG0000053	MT986830.1_00101	OL310752.1_00035
OG0000054	MT986830.1_00104	OL310752.1_00112
OG0000055	MT986830.1_00115	OL310752.1_00061
OG0000056	MT986830.1_00119	OL310752.1_00119
OG0000057	MT986830.1_00121	OL310752.1_00067
OG0000058	MT986830.1_00002	OL310752.1_00075
OG0000059	MT986830.1_00010	OL310752.1_00016
OG0000060	MT986830.1_00018	OL310752.1_00008
OG0000061	MT986830.1_00095	OL310752.1_00041
OG0000062	MT986830.1_00029	OL310752.1_00104
OG0000063	MT986830.1_00075	OL310752.1_00081
OG0000064	MT986830.1_00017	OL310752.1_00010
OG0000065	MT986830.1_00041	OL310752.1_00058
OG0000066	MT986830.1_00044	OL310752.1_00054
OG0000067	MT986830.1_00048	OL310752.1_00050, OL310752.1_00086
OG0000068	MT986830.1_00069	OL310752.1_00031
OG0000069	MT986830.1_00103	OL310752.1_00033
OG0000070	MT986830.1_00105	OL310752.1_00111
OG0000071	MT986830.1_00118	OL310752.1_00117, OL310752.1_00118
OG0000072	MT986830.1_00009	OL310752.1_00017
OG0000073	MT986830.1_00012	OL310752.1_00015
OG0000074	MT986830.1_00016	OL310752.1_00011
OG0000075	MT986830.1_00037	OL310752.1_00084
OG0000076	MT986830.1_00040	OL310752.1_00059
