Orthogroup	HF920637.1	AY521625.1
OG0000000	HF920637.1_00129, HF920637.1_00164	AY521625.1_00091
OG0000001	HF920637.1_00143	AY521625.1_00064
OG0000003	HF920637.1_00059	AY521625.1_00077
OG0000004	HF920637.1_00159	AY521625.1_00130
OG0000005	HF920637.1_00176, HF920637.1_00175	AY521625.1_00085
OG0000006	HF920637.1_00121	AY521625.1_00051
OG0000007	HF920637.1_00172	AY521625.1_00016
OG0000008	HF920637.1_00025	AY521625.1_00069, AY521625.1_00070
OG0000009	HF920637.1_00153	AY521625.1_00142
OG0000010	HF920637.1_00041	AY521625.1_00054
OG0000011	HF920637.1_00001	AY521625.1_00110
OG0000012	HF920637.1_00031	AY521625.1_00074
OG0000013	HF920637.1_00073	AY521625.1_00059
OG0000014	HF920637.1_00213	AY521625.1_00065
OG0000015	HF920637.1_00017	AY521625.1_00048
OG0000016	HF920637.1_00217	AY521625.1_00053
OG0000017	HF920637.1_00197	AY521625.1_00086
OG0000018	HF920637.1_00079	AY521625.1_00073
OG0000019	HF920637.1_00111	AY521625.1_00047
OG0000020	HF920637.1_00108	AY521625.1_00115
OG0000021	HF920637.1_00152	AY521625.1_00035
OG0000022	HF920637.1_00033	AY521625.1_00062
OG0000023	HF920637.1_00221	AY521625.1_00100
OG0000024	HF920637.1_00203	AY521625.1_00060
OG0000137	HF920637.1_00219	AY521625.1_00098
OG0000138	HF920637.1_00014	AY521625.1_00102
OG0000147	HF920637.1_00061	AY521625.1_00042
OG0000148	HF920637.1_00105	AY521625.1_00056
OG0000153	HF920637.1_00072	AY521625.1_00126
OG0000154	HF920637.1_00060	AY521625.1_00133
OG0000161	HF920637.1_00150	AY521625.1_00044
