Orthogroup	KT804738.1	OL310752.1
OG0000000	KT804738.1_00029	OL310752.1_00108, OL310752.1_00113
OG0000001	KT804738.1_00007	OL310752.1_00019
OG0000002	KT804738.1_00073	OL310752.1_00077, OL310752.1_00120
OG0000003	KT804738.1_00008	OL310752.1_00018
OG0000004	KT804738.1_00015	OL310752.1_00012
OG0000005	KT804738.1_00028	OL310752.1_00107
OG0000006	KT804738.1_00072	OL310752.1_00078
OG0000007	KT804738.1_00086	OL310752.1_00042
OG0000008	KT804738.1_00109	OL310752.1_00060
OG0000009	KT804738.1_00111	OL310752.1_00116
OG0000010	KT804738.1_00005	OL310752.1_00021
OG0000011	KT804738.1_00021	OL310752.1_00004
OG0000012	KT804738.1_00030	OL310752.1_00114
OG0000013	KT804738.1_00032	OL310752.1_00085
OG0000014	KT804738.1_00034	OL310752.1_00083
OG0000015	KT804738.1_00055	OL310752.1_00096
OG0000016	KT804738.1_00060	OL310752.1_00027
OG0000017	KT804738.1_00082	OL310752.1_00046
OG0000018	KT804738.1_00083	OL310752.1_00045
OG0000019	KT804738.1_00104	OL310752.1_00065
OG0000020	KT804738.1_00119	OL310752.1_00071
OG0000021	KT804738.1_00120	OL310752.1_00072
OG0000022	KT804738.1_00043	OL310752.1_00052
OG0000023	KT804738.1_00092	OL310752.1_00036
OG0000024	KT804738.1_00107	OL310752.1_00062
OG0000025	KT804738.1_00061	OL310752.1_00028
OG0000026	KT804738.1_00084	OL310752.1_00044
OG0000027	KT804738.1_00046	OL310752.1_00087
OG0000028	KT804738.1_00006	OL310752.1_00020
OG0000029	KT804738.1_00058	OL310752.1_00025
OG0000030	KT804738.1_00001	OL310752.1_00074
OG0000032	KT804738.1_00085	OL310752.1_00043
OG0000033	KT804738.1_00121	OL310752.1_00073
OG0000034	KT804738.1_00013	OL310752.1_00014
OG0000035	KT804738.1_00014	OL310752.1_00013
OG0000036	KT804738.1_00019	OL310752.1_00007
OG0000037	KT804738.1_00020	OL310752.1_00006
OG0000038	KT804738.1_00022	OL310752.1_00003
OG0000039	KT804738.1_00023	OL310752.1_00002
OG0000040	KT804738.1_00031	OL310752.1_00115
OG0000041	KT804738.1_00035	OL310752.1_00082
OG0000042	KT804738.1_00047	OL310752.1_00088
OG0000043	KT804738.1_00048	OL310752.1_00089
OG0000044	KT804738.1_00053	OL310752.1_00094
OG0000045	KT804738.1_00054	OL310752.1_00095
OG0000047	KT804738.1_00056	OL310752.1_00023
OG0000048	KT804738.1_00057	OL310752.1_00024
OG0000049	KT804738.1_00074	OL310752.1_00121
OG0000050	KT804738.1_00078	OL310752.1_00123
OG0000051	KT804738.1_00079	OL310752.1_00049
OG0000052	KT804738.1_00091	OL310752.1_00037
OG0000053	KT804738.1_00093	OL310752.1_00035
OG0000054	KT804738.1_00096	OL310752.1_00112
OG0000055	KT804738.1_00108	OL310752.1_00061
OG0000056	KT804738.1_00113	OL310752.1_00119
OG0000057	KT804738.1_00115	OL310752.1_00067
OG0000058	KT804738.1_00002	OL310752.1_00075
OG0000059	KT804738.1_00010	OL310752.1_00016
OG0000060	KT804738.1_00018	OL310752.1_00008
OG0000061	KT804738.1_00087	OL310752.1_00041
OG0000062	KT804738.1_00025	OL310752.1_00104
OG0000063	KT804738.1_00069	OL310752.1_00081
OG0000064	KT804738.1_00017	OL310752.1_00010
OG0000065	KT804738.1_00037	OL310752.1_00058
OG0000066	KT804738.1_00041	OL310752.1_00054
OG0000067	KT804738.1_00045	OL310752.1_00050, OL310752.1_00086
OG0000068	KT804738.1_00064	OL310752.1_00031
OG0000069	KT804738.1_00095	OL310752.1_00033
OG0000070	KT804738.1_00097	OL310752.1_00111
OG0000071	KT804738.1_00112	OL310752.1_00117, OL310752.1_00118
OG0000072	KT804738.1_00009	OL310752.1_00017
OG0000073	KT804738.1_00011	OL310752.1_00015
OG0000074	KT804738.1_00016	OL310752.1_00011
OG0000075	KT804738.1_00033	OL310752.1_00084
OG0000076	KT804738.1_00036	OL310752.1_00059
OG0000077	KT804738.1_00039	OL310752.1_00056
OG0000078	KT804738.1_00040	OL310752.1_00055
OG0000079	KT804738.1_00044	OL310752.1_00051
OG0000080	KT804738.1_00049	OL310752.1_00090
OG0000081	KT804738.1_00050	OL310752.1_00091
