Orthogroup	OM037668.1	KF938901.1
OG0000000	OM037668.1_00035	KF938901.1_00126
OG0000001	OM037668.1_00056	KF938901.1_00080
OG0000002	OM037668.1_00057	KF938901.1_00044
OG0000003	OM037668.1_00050	KF938901.1_00005
OG0000004	OM037668.1_00076	KF938901.1_00043
OG0000005	OM037668.1_00080	KF938901.1_00125
OG0000006	OM037668.1_00021	KF938901.1_00072
OG0000007	OM037668.1_00084	KF938901.1_00053
OG0000008	OM037668.1_00038	KF938901.1_00067
OG0000009	OM037668.1_00077	KF938901.1_00114
OG0000011	OM037668.1_00009	KF938901.1_00092
OG0000012	OM037668.1_00041	KF938901.1_00054
OG0000013	OM037668.1_00098	KF938901.1_00060
OG0000014	OM037668.1_00078	KF938901.1_00074
OG0000015	OM037668.1_00004	KF938901.1_00095
OG0000016	OM037668.1_00089	KF938901.1_00046
OG0000017	OM037668.1_00124	KF938901.1_00123
OG0000018	OM037668.1_00073	KF938901.1_00025
OG0000019	OM037668.1_00090	KF938901.1_00012
OG0000020	OM037668.1_00123	KF938901.1_00047
OG0000021	OM037668.1_00013	KF938901.1_00124
OG0000022	OM037668.1_00127	KF938901.1_00023
OG0000023	OM037668.1_00113	KF938901.1_00031
OG0000024	OM037668.1_00064	KF938901.1_00094
OG0000025	OM037668.1_00024	KF938901.1_00093
OG0000139	OM037668.1_00068	KF938901.1_00108
