Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Infectious spleen and kidney necrosis virus isolate TTIV-2011, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,110394,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883594.1?report=genbank&log$=nucltop&blast_rank=1&RID=6EEFX88T016"",""MW883594.1"")"
"Infectious spleen and kidney necrosis virus strain AK-ISKNV, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,110460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR536350.1?report=genbank&log$=nucltop&blast_rank=2&RID=6EEFX88T016"",""OR536350.1"")"
"Infectious spleen and kidney necrosis virus isolate XHIV-2015, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,110894,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883600.1?report=genbank&log$=nucltop&blast_rank=3&RID=6EEFX88T016"",""MW883600.1"")"
"Infectious spleen and kidney necrosis virus isolate Bali/ Hybrid-grouper/2016/SVC-18-072, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,110919,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW557381.1?report=genbank&log$=nucltop&blast_rank=4&RID=6EEFX88T016"",""MW557381.1"")"
"Infectious spleen and kidney necrosis virus isolate Bali/Hybrid-grouper/2016/SVC-18-009, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,110961,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW464172.1?report=genbank&log$=nucltop&blast_rank=5&RID=6EEFX88T016"",""MW464172.1"")"
"Infectious spleen and kidney necrosis virus isolate XMIV-2015, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,110962,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883602.1?report=genbank&log$=nucltop&blast_rank=6&RID=6EEFX88T016"",""MW883602.1"")"
"Infectious spleen and kidney necrosis virus isolate TLIV-2015, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883601.1?report=genbank&log$=nucltop&blast_rank=7&RID=6EEFX88T016"",""MW883601.1"")"
"Infectious spleen and kidney necrosis virus isolate HGIV-Cantik1-2014, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111039,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883596.1?report=genbank&log$=nucltop&blast_rank=8&RID=6EEFX88T016"",""MW883596.1"")"
"Infectious spleen and kidney necrosis virus isolate DGIV_2010, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111092,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883604.1?report=genbank&log$=nucltop&blast_rank=9&RID=6EEFX88T016"",""MW883604.1"")"
"Infectious spleen and kidney necrosis virus isolate OGIV-YK-2018, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883605.1?report=genbank&log$=nucltop&blast_rank=10&RID=6EEFX88T016"",""MW883605.1"")"
"Angelfish iridovirus AFIV-16, complete genome",Angelfish iridovirus AFIV-16,540,540,100%,1e-172,100.00,111127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK689685.1?report=genbank&log$=nucltop&blast_rank=11&RID=6EEFX88T016"",""MK689685.1"")"
"Infectious spleen and kidney necrosis virus isolate HGIV-2015, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883603.1?report=genbank&log$=nucltop&blast_rank=12&RID=6EEFX88T016"",""MW883603.1"")"
"Infectious spleen and kidney necrosis virus strain RSIV-Ku, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT781098.1?report=genbank&log$=nucltop&blast_rank=13&RID=6EEFX88T016"",""KT781098.1"")"
"Infectious spleen and kidney necrosis virus isolate TLIV-2011, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883593.1?report=genbank&log$=nucltop&blast_rank=14&RID=6EEFX88T016"",""MW883593.1"")"
"Infectious spleen and kidney necrosis virus isolate NH-2005, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP896201.1?report=genbank&log$=nucltop&blast_rank=15&RID=6EEFX88T016"",""OP896201.1"")"
"Infectious spleen and kidney necrosis virus isolate NH-2021, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111315,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR356116.1?report=genbank&log$=nucltop&blast_rank=16&RID=6EEFX88T016"",""OR356116.1"")"
"Infectious spleen and kidney necrosis virus isolate TTIV-2015, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883599.1?report=genbank&log$=nucltop&blast_rank=17&RID=6EEFX88T016"",""MW883599.1"")"
"Infectious spleen and kidney necrosis virus, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_003494.1?report=genbank&log$=nucltop&blast_rank=18&RID=6EEFX88T016"",""NC_003494.1"")"
"Infectious spleen and kidney necrosis virus strain LakeVolta_BF-2, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ513807.1?report=genbank&log$=nucltop&blast_rank=19&RID=6EEFX88T016"",""OQ513807.1"")"
