locus_tag	ftype	length_bp	gene	EC_number	COG	product
MK098185_00001	CDS	1077				hypothetical protein
MK098185_00002	CDS	456				hypothetical protein
MK098185_00003	CDS	285				hypothetical protein
MK098185_00004	CDS	453				hypothetical protein
MK098185_00005	CDS	570				hypothetical protein
MK098185_00006	CDS	306				hypothetical protein
MK098185_00007	CDS	1362	MCP			Major capsid protein
MK098185_00008	CDS	1458				hypothetical protein
MK098185_00009	CDS	1551				hypothetical protein
MK098185_00010	CDS	219				hypothetical protein
MK098185_00011	CDS	243				hypothetical protein
MK098185_00012	CDS	393				hypothetical protein
MK098185_00013	CDS	261				hypothetical protein
MK098185_00014	CDS	333				hypothetical protein
MK098185_00015	CDS	1398				hypothetical protein
MK098185_00016	CDS	294				hypothetical protein
MK098185_00017	CDS	957				hypothetical protein
MK098185_00018	CDS	792				hypothetical protein
MK098185_00019	CDS	588				hypothetical protein
MK098185_00020	CDS	333				hypothetical protein
MK098185_00021	CDS	210				hypothetical protein
MK098185_00022	CDS	2844				hypothetical protein
MK098185_00023	CDS	534				hypothetical protein
MK098185_00024	CDS	1596				hypothetical protein
MK098185_00025	CDS	351				hypothetical protein
MK098185_00026	CDS	729				hypothetical protein
MK098185_00027	CDS	342				hypothetical protein
MK098185_00028	CDS	186				hypothetical protein
MK098185_00029	CDS	939		1.17.4.1		Ribonucleoside-diphosphate reductase small chain
MK098185_00030	CDS	462				hypothetical protein
MK098185_00031	CDS	279				hypothetical protein
MK098185_00032	CDS	897				hypothetical protein
MK098185_00033	CDS	3507				hypothetical protein
MK098185_00034	CDS	204				hypothetical protein
MK098185_00035	CDS	585				hypothetical protein
MK098185_00036	CDS	576				hypothetical protein
MK098185_00037	CDS	903				hypothetical protein
MK098185_00038	CDS	3159	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
MK098185_00039	CDS	1140				hypothetical protein
MK098185_00040	CDS	1026				hypothetical protein
MK098185_00041	CDS	1350				hypothetical protein
MK098185_00042	CDS	1440				hypothetical protein
MK098185_00043	CDS	879				hypothetical protein
