Orthogroup	KC244182.1	MN562489.1
OG0000000	KC244182.1_00029	MN562489.1_00102
OG0000001	KC244182.1_00008	MN562489.1_00081
OG0000002	KC244182.1_00007	MN562489.1_00080
OG0000003	KC244182.1_00014	MN562489.1_00087
OG0000004	KC244182.1_00112	MN562489.1_00060
OG0000005	KC244182.1_00095	MN562489.1_00056
OG0000006	KC244182.1_00076	MN562489.1_00116
OG0000007	KC244182.1_00090	MN562489.1_00052
OG0000008	KC244182.1_00028	MN562489.1_00099
OG0000009	KC244182.1_00114	MN562489.1_00059
OG0000010	KC244182.1_00077	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131
OG0000011	KC244182.1_00063	MN562489.1_00128
OG0000012	KC244182.1_00022	MN562489.1_00096
OG0000013	KC244182.1_00056	MN562489.1_00038
OG0000014	KC244182.1_00121	MN562489.1_00058
OG0000015	KC244182.1_00122	MN562489.1_00133
OG0000016	KC244182.1_00087	MN562489.1_00047
OG0000017	KC244182.1_00032	MN562489.1_00011
OG0000018	KC244182.1_00107	MN562489.1_00063
OG0000019	KC244182.1_00086	MN562489.1_00046
OG0000020	KC244182.1_00030	MN562489.1_00012
OG0000021	KC244182.1_00005	MN562489.1_00124
OG0000022	KC244182.1_00034	MN562489.1_00008
OG0000023	KC244182.1_00043	MN562489.1_00023
OG0000024	KC244182.1_00025	MN562489.1_00073
OG0000025	KC244182.1_00064	MN562489.1_00113
OG0000026	KC244182.1_00110	MN562489.1_00062
OG0000027	KC244182.1_00088	MN562489.1_00049
OG0000028	KC244182.1_00046	MN562489.1_00026
OG0000029	KC244182.1_00061	MN562489.1_00041
OG0000030	KC244182.1_00001	MN562489.1_00107
OG0000031	KC244182.1_00006	MN562489.1_00126
OG0000032	KC244182.1_00081	MN562489.1_00118
OG0000033	KC244182.1_00089	MN562489.1_00050
OG0000034	KC244182.1_00123	MN562489.1_00109
OG0000035	KC244182.1_00012	MN562489.1_00086
OG0000036	KC244182.1_00013	MN562489.1_00132
OG0000037	KC244182.1_00018	MN562489.1_00091
OG0000038	KC244182.1_00019	MN562489.1_00092
OG0000039	KC244182.1_00023	MN562489.1_00097
OG0000040	KC244182.1_00024	MN562489.1_00089
OG0000041	KC244182.1_00031	MN562489.1_00134
OG0000042	KC244182.1_00035	MN562489.1_00013
OG0000043	KC244182.1_00048	MN562489.1_00030
OG0000044	KC244182.1_00049	MN562489.1_00031
OG0000045	KC244182.1_00054	MN562489.1_00036
OG0000046	KC244182.1_00055	MN562489.1_00037
OG0000047	KC244182.1_00057	MN562489.1_00039
OG0000048	KC244182.1_00058	MN562489.1_00051
OG0000049	KC244182.1_00060	MN562489.1_00040
OG0000050	KC244182.1_00078	MN562489.1_00117
OG0000051	KC244182.1_00082	MN562489.1_00119
OG0000052	KC244182.1_00083	MN562489.1_00005
OG0000053	KC244182.1_00094	MN562489.1_00055
OG0000054	KC244182.1_00096	MN562489.1_00105
OG0000055	KC244182.1_00099	MN562489.1_00104
OG0000056	KC244182.1_00111	MN562489.1_00061
OG0000057	KC244182.1_00116	MN562489.1_00057
OG0000058	KC244182.1_00118	MN562489.1_00001
OG0000059	KC244182.1_00002	MN562489.1_00106
OG0000060	KC244182.1_00010	MN562489.1_00083
OG0000061	KC244182.1_00017	MN562489.1_00090
OG0000062	KC244182.1_00091	MN562489.1_00053
OG0000114	KC244182.1_00021	MN562489.1_00095
OG0000116	KC244182.1_00053	MN562489.1_00035
OG0000118	KC244182.1_00092	MN562489.1_00054
