Orthogroup	L63545.1	AY521625.1
OG0000000	L63545.1_00007	AY521625.1_00091
OG0000001	L63545.1_00035	AY521625.1_00077
OG0000002	L63545.1_00079	AY521625.1_00064
OG0000003	L63545.1_00076	AY521625.1_00130
OG0000004	L63545.1_00001	AY521625.1_00069, AY521625.1_00070
OG0000005	L63545.1_00056	AY521625.1_00100
OG0000006	L63545.1_00093	AY521625.1_00051
OG0000007	L63545.1_00090	AY521625.1_00016
OG0000008	L63545.1_00108	AY521625.1_00085
OG0000009	L63545.1_00024	AY521625.1_00142
OG0000011	L63545.1_00069	AY521625.1_00053
OG0000012	L63545.1_00071	AY521625.1_00110
OG0000013	L63545.1_00004	AY521625.1_00048
OG0000014	L63545.1_00030	AY521625.1_00115
OG0000015	L63545.1_00110	AY521625.1_00035
OG0000016	L63545.1_00073	AY521625.1_00073
OG0000017	L63545.1_00072	AY521625.1_00059
OG0000018	L63545.1_00068	AY521625.1_00047
OG0000019	L63545.1_00009	AY521625.1_00086
OG0000020	L63545.1_00098	AY521625.1_00074
OG0000021	L63545.1_00043	AY521625.1_00054
OG0000022	L63545.1_00013	AY521625.1_00065
OG0000023	L63545.1_00054	AY521625.1_00062
OG0000024	L63545.1_00015	AY521625.1_00042
OG0000026	L63545.1_00002	AY521625.1_00060
OG0000027	L63545.1_00058	AY521625.1_00022
OG0000113	L63545.1_00088, L63545.1_00051, L63545.1_00047, L63545.1_00050	AY521625.1_00036
OG0000134	L63545.1_00092	AY521625.1_00098
OG0000135	L63545.1_00016	AY521625.1_00102
OG0000137	L63545.1_00100	AY521625.1_00056
OG0000151	L63545.1_00085	AY521625.1_00002
OG0000158	L63545.1_00018	AY521625.1_00018
OG0000160	L63545.1_00055	AY521625.1_00126
OG0000176	L63545.1_00066	AY521625.1_00005
OG0000177	L63545.1_00091	AY521625.1_00011
OG0000178	L63545.1_00048	AY521625.1_00140
OG0000206	L63545.1_00106	AY521625.1_00066
OG0000232	L63545.1_00025	AY521625.1_00023
OG0000233	L63545.1_00082	AY521625.1_00057
OG0000234	L63545.1_00021	AY521625.1_00061
OG0000235	L63545.1_00109	AY521625.1_00094
OG0000236	L63545.1_00022	AY521625.1_00116
OG0000237	L63545.1_00032	AY521625.1_00128
OG0000290	L63545.1_00061	AY521625.1_00010
OG0000291	L63545.1_00067	AY521625.1_00055
