Orthogroup	L63545.1	HF920633.1
OG0000000	L63545.1_00007	HF920633.1_00044
OG0000001	L63545.1_00035	HF920633.1_00069
OG0000002	L63545.1_00079	HF920633.1_00073
OG0000003	L63545.1_00076	HF920633.1_00127
OG0000004	L63545.1_00001	HF920633.1_00079
OG0000005	L63545.1_00056	HF920633.1_00085
OG0000006	L63545.1_00093	HF920633.1_00025
OG0000007	L63545.1_00090	HF920633.1_00091
OG0000008	L63545.1_00108	HF920633.1_00043
OG0000009	L63545.1_00024	HF920633.1_00122
OG0000011	L63545.1_00069	HF920633.1_00118
OG0000012	L63545.1_00071	HF920633.1_00001
OG0000013	L63545.1_00004	HF920633.1_00067
OG0000014	L63545.1_00030	HF920633.1_00138
OG0000015	L63545.1_00110	HF920633.1_00058
OG0000016	L63545.1_00073	HF920633.1_00094
OG0000017	L63545.1_00072	HF920633.1_00158
OG0000018	L63545.1_00068	HF920633.1_00003
OG0000019	L63545.1_00009	HF920633.1_00163
OG0000020	L63545.1_00098	HF920633.1_00080
OG0000021	L63545.1_00043	HF920633.1_00097
OG0000022	L63545.1_00013	HF920633.1_00175
OG0000023	L63545.1_00054	HF920633.1_00017
OG0000024	L63545.1_00015	HF920633.1_00062
OG0000113	L63545.1_00088, L63545.1_00051, L63545.1_00047, L63545.1_00050	HF920633.1_00145
OG0000113	L63545.1_00005	HF920633.1_00086
OG0000134	L63545.1_00092	HF920633.1_00135
OG0000135	L63545.1_00016	HF920633.1_00064
OG0000137	L63545.1_00100	HF920633.1_00132
OG0000138	L63545.1_00023	HF920633.1_00053
OG0000155	L63545.1_00012	HF920633.1_00036
OG0000158	L63545.1_00018	HF920633.1_00024
OG0000176	L63545.1_00066	HF920633.1_00171
OG0000178	L63545.1_00048	HF920633.1_00034
OG0000210	L63545.1_00105	HF920633.1_00139
