Orthogroup	KT804738.1	LS484712.1
OG0000000	KT804738.1_00029	LS484712.1_00114
OG0000001	KT804738.1_00008	LS484712.1_00095
OG0000002	KT804738.1_00007	LS484712.1_00142
OG0000003	KT804738.1_00015	LS484712.1_00187
OG0000005	KT804738.1_00092	LS484712.1_00256
OG0000006	KT804738.1_00072	LS484712.1_00040
OG0000007	KT804738.1_00086	LS484712.1_00234, LS484712.1_00050
OG0000008	KT804738.1_00028	LS484712.1_00248
OG0000009	KT804738.1_00111	LS484712.1_00130
OG0000011	KT804738.1_00060	LS484712.1_00203
OG0000012	KT804738.1_00021	LS484712.1_00200
OG0000013	KT804738.1_00055	LS484712.1_00143
OG0000014	KT804738.1_00119	LS484712.1_00202
OG0000015	KT804738.1_00120	LS484712.1_00135
OG0000016	KT804738.1_00083	LS484712.1_00048
OG0000017	KT804738.1_00032	LS484712.1_00240
OG0000018	KT804738.1_00104	LS484712.1_00053
OG0000019	KT804738.1_00082	LS484712.1_00192
OG0000020	KT804738.1_00030	LS484712.1_00188
OG0000021	KT804738.1_00005	LS484712.1_00096
OG0000022	KT804738.1_00034	LS484712.1_00194
OG0000023	KT804738.1_00043	LS484712.1_00117
OG0000024	KT804738.1_00025	LS484712.1_00149
OG0000068	KT804738.1_00064	LS484712.1_00002
