Orthogroup	NC_027778.1	MN803438.1
OG0000000	NC_027778.1_00083	MN803438.1_00124
OG0000001	NC_027778.1_00062	MN803438.1_00101, MN803438.1_00056
OG0000002	NC_027778.1_00061	MN803438.1_00023
OG0000003	NC_027778.1_00068	MN803438.1_00113
OG0000004	NC_027778.1_00040	MN803438.1_00104
OG0000005	NC_027778.1_00036	MN803438.1_00071
OG0000006	NC_027778.1_00098	MN803438.1_00142
OG0000007	NC_027778.1_00032	MN803438.1_00027
OG0000008	NC_027778.1_00080	MN803438.1_00106
OG0000009	NC_027778.1_00039	MN803438.1_00109
OG0000011	NC_027778.1_00111	MN803438.1_00049
OG0000012	NC_027778.1_00077	MN803438.1_00128
OG0000013	NC_027778.1_00018	MN803438.1_00007
OG0000014	NC_027778.1_00038	MN803438.1_00070
OG0000015	NC_027778.1_00116	MN803438.1_00046
OG0000016	NC_027778.1_00027	MN803438.1_00122
OG0000017	NC_027778.1_00132	MN803438.1_00035
OG0000018	NC_027778.1_00043	MN803438.1_00051
OG0000019	NC_027778.1_00026	MN803438.1_00097
OG0000020	NC_027778.1_00133	MN803438.1_00068
OG0000021	NC_027778.1_00106	MN803438.1_00089
OG0000022	NC_027778.1_00129	MN803438.1_00013
OG0000023	NC_027778.1_00003	MN803438.1_00077
OG0000024	NC_027778.1_00054	MN803438.1_00024
OG0000026	NC_027778.1_00042	MN803438.1_00126
OG0000027	NC_027778.1_00029	MN803438.1_00037
OG0000028	NC_027778.1_00006	MN803438.1_00054
OG0000031	NC_027778.1_00108	MN803438.1_00145
OG0000129	NC_027778.1_00056	MN803438.1_00082
OG0000139	NC_027778.1_00049	MN803438.1_00005
OG0000147	NC_027778.1_00104, NC_027778.1_00046	MN803438.1_00022
OG0000151	NC_027778.1_00119	MN803438.1_00010
OG0000161	NC_027778.1_00082	MN803438.1_00011, MN803438.1_00096
OG0000212	NC_027778.1_00028	MN803438.1_00130
