Orthogroup	Irido_IIV6_AF303741.1	MCV_ML1_SDDV_NC_027778.1
OG0000000	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152	MCV_ML1_SDDV_NC_027778.1_00083
OG0000001	Irido_IIV6_AF303741.1_00125	MCV_ML1_SDDV_NC_027778.1_00061
OG0000002	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	MCV_ML1_SDDV_NC_027778.1_00062
OG0000003	Irido_IIV6_AF303741.1_00035	MCV_ML1_SDDV_NC_027778.1_00068
OG0000004	Irido_IIV6_AF303741.1_00080	MCV_ML1_SDDV_NC_027778.1_00040
OG0000005	Irido_IIV6_AF303741.1_00149	MCV_ML1_SDDV_NC_027778.1_00032
OG0000006	Irido_IIV6_AF303741.1_00165	MCV_ML1_SDDV_NC_027778.1_00080
OG0000007	Irido_IIV6_AF303741.1_00132	MCV_ML1_SDDV_NC_027778.1_00098
OG0000008	Irido_IIV6_AF303741.1_00176	MCV_ML1_SDDV_NC_027778.1_00039
OG0000009	Irido_IIV6_AF303741.1_00129	MCV_ML1_SDDV_NC_027778.1_00036
OG0000011	Irido_IIV6_AF303741.1_00137	MCV_ML1_SDDV_NC_027778.1_00026
OG0000012	Irido_IIV6_AF303741.1_00189	MCV_ML1_SDDV_NC_027778.1_00129
OG0000013	Irido_IIV6_AF303741.1_00081	MCV_ML1_SDDV_NC_027778.1_00043
OG0000014	Irido_IIV6_AF303741.1_00062	MCV_ML1_SDDV_NC_027778.1_00027
OG0000015	Irido_IIV6_AF303741.1_00156	MCV_ML1_SDDV_NC_027778.1_00133
OG0000016	Irido_IIV6_AF303741.1_00011	MCV_ML1_SDDV_NC_027778.1_00077
OG0000017	Irido_IIV6_AF303741.1_00023	MCV_ML1_SDDV_NC_027778.1_00018
OG0000018	Irido_IIV6_AF303741.1_00026	MCV_ML1_SDDV_NC_027778.1_00038
OG0000019	Irido_IIV6_AF303741.1_00006	MCV_ML1_SDDV_NC_027778.1_00111
OG0000020	Irido_IIV6_AF303741.1_00046	MCV_ML1_SDDV_NC_027778.1_00116
OG0000021	Irido_IIV6_AF303741.1_00063	MCV_ML1_SDDV_NC_027778.1_00132
OG0000022	Irido_IIV6_AF303741.1_00158	MCV_ML1_SDDV_NC_027778.1_00106
OG0000023	Irido_IIV6_AF303741.1_00154	MCV_ML1_SDDV_NC_027778.1_00003
OG0000024	Irido_IIV6_AF303741.1_00168	MCV_ML1_SDDV_NC_027778.1_00054
OG0000025	Irido_IIV6_AF303741.1_00051	MCV_ML1_SDDV_NC_027778.1_00094, MCV_ML1_SDDV_NC_027778.1_00095
OG0000139	Irido_IIV6_AF303741.1_00101	MCV_ML1_SDDV_NC_027778.1_00049
OG0000178	Irido_IIV6_AF303741.1_00117	MCV_ML1_SDDV_NC_027778.1_00096
OG0000179	Irido_IIV6_AF303741.1_00009	MCV_ML1_SDDV_NC_027778.1_00097
