Orthogroup	OQ475017.1	NC_005946.1
OG0000000	OQ475017.1_00030	NC_005946.1_00010
OG0000001	OQ475017.1_00008	NC_005946.1_00053
OG0000002	OQ475017.1_00007	NC_005946.1_00091
OG0000003	OQ475017.1_00015	NC_005946.1_00057
OG0000004	OQ475017.1_00110	NC_005946.1_00028
OG0000005	OQ475017.1_00093	NC_005946.1_00014
OG0000006	OQ475017.1_00073	NC_005946.1_00042
OG0000007	OQ475017.1_00087	NC_005946.1_00002
OG0000008	OQ475017.1_00029	NC_005946.1_00095
OG0000009	OQ475017.1_00112	NC_005946.1_00092
OG0000011	OQ475017.1_00062	NC_005946.1_00011
OG0000012	OQ475017.1_00022	NC_005946.1_00060
OG0000013	OQ475017.1_00056	NC_005946.1_00022
OG0000014	OQ475017.1_00120	NC_005946.1_00016
OG0000015	OQ475017.1_00121	NC_005946.1_00021
OG0000016	OQ475017.1_00084	NC_005946.1_00082
OG0000017	OQ475017.1_00033	NC_005946.1_00087
OG0000018	OQ475017.1_00105	NC_005946.1_00023
OG0000019	OQ475017.1_00083	NC_005946.1_00094
OG0000020	OQ475017.1_00031	NC_005946.1_00083
OG0000021	OQ475017.1_00005	NC_005946.1_00038
OG0000022	OQ475017.1_00035	NC_005946.1_00061
OG0000023	OQ475017.1_00044	NC_005946.1_00089
OG0000024	OQ475017.1_00027	NC_005946.1_00067
OG0000026	OQ475017.1_00108	NC_005946.1_00086
OG0000027	OQ475017.1_00085	NC_005946.1_00049
OG0000028	OQ475017.1_00047	NC_005946.1_00085
OG0000112	OQ475017.1_00077	NC_005946.1_00006
