Orthogroup	NC_027778.1	MF599468.1
OG0000000	NC_027778.1_00083	MF599468.1_00057, MF599468.1_00056
OG0000001	NC_027778.1_00062	MF599468.1_00163
OG0000002	NC_027778.1_00061	MF599468.1_00152
OG0000003	NC_027778.1_00068	MF599468.1_00011
OG0000004	NC_027778.1_00040	MF599468.1_00092
OG0000005	NC_027778.1_00036	MF599468.1_00154
OG0000006	NC_027778.1_00098	MF599468.1_00010
OG0000007	NC_027778.1_00032	MF599468.1_00174
OG0000008	NC_027778.1_00080	MF599468.1_00030
OG0000009	NC_027778.1_00039	MF599468.1_00075
OG0000011	NC_027778.1_00111	MF599468.1_00149
OG0000012	NC_027778.1_00077	MF599468.1_00112
OG0000013	NC_027778.1_00018	MF599468.1_00033
OG0000014	NC_027778.1_00038	MF599468.1_00122
OG0000015	NC_027778.1_00116	MF599468.1_00009
OG0000016	NC_027778.1_00027	MF599468.1_00046
OG0000017	NC_027778.1_00132	MF599468.1_00035
OG0000018	NC_027778.1_00043	MF599468.1_00117
OG0000019	NC_027778.1_00026	MF599468.1_00106
OG0000020	NC_027778.1_00133	MF599468.1_00090
OG0000021	NC_027778.1_00106	MF599468.1_00116
OG0000022	NC_027778.1_00129	MF599468.1_00071
OG0000023	NC_027778.1_00003	MF599468.1_00171
OG0000026	NC_027778.1_00042	MF599468.1_00039
OG0000047	NC_027778.1_00019	MF599468.1_00013
OG0000173	NC_027778.1_00096	MF599468.1_00098
