Orthogroup	Rana_FV3_NC_005946.1	MCV_MP1_BCFI_MN432490.1
OG0000000	Rana_FV3_NC_005946.1_00010	MCV_MP1_BCFI_MN432490.1_00032
OG0000001	Rana_FV3_NC_005946.1_00091	MCV_MP1_BCFI_MN432490.1_00007
OG0000002	Rana_FV3_NC_005946.1_00053	MCV_MP1_BCFI_MN432490.1_00008
OG0000003	Rana_FV3_NC_005946.1_00057	MCV_MP1_BCFI_MN432490.1_00015
OG0000004	Rana_FV3_NC_005946.1_00028	MCV_MP1_BCFI_MN432490.1_00113
OG0000005	Rana_FV3_NC_005946.1_00002	MCV_MP1_BCFI_MN432490.1_00092
OG0000006	Rana_FV3_NC_005946.1_00095	MCV_MP1_BCFI_MN432490.1_00031
OG0000007	Rana_FV3_NC_005946.1_00042	MCV_MP1_BCFI_MN432490.1_00078
OG0000008	Rana_FV3_NC_005946.1_00092	MCV_MP1_BCFI_MN432490.1_00114
OG0000009	Rana_FV3_NC_005946.1_00014	MCV_MP1_BCFI_MN432490.1_00097
OG0000011	Rana_FV3_NC_005946.1_00094	MCV_MP1_BCFI_MN432490.1_00088
OG0000012	Rana_FV3_NC_005946.1_00061	MCV_MP1_BCFI_MN432490.1_00037
OG0000013	Rana_FV3_NC_005946.1_00023	MCV_MP1_BCFI_MN432490.1_00108
OG0000014	Rana_FV3_NC_005946.1_00082	MCV_MP1_BCFI_MN432490.1_00089
OG0000015	Rana_FV3_NC_005946.1_00083	MCV_MP1_BCFI_MN432490.1_00033
OG0000016	Rana_FV3_NC_005946.1_00060	MCV_MP1_BCFI_MN432490.1_00023
OG0000017	Rana_FV3_NC_005946.1_00022	MCV_MP1_BCFI_MN432490.1_00058
OG0000018	Rana_FV3_NC_005946.1_00016	MCV_MP1_BCFI_MN432490.1_00122
OG0000019	Rana_FV3_NC_005946.1_00011	MCV_MP1_BCFI_MN432490.1_00064
OG0000020	Rana_FV3_NC_005946.1_00021	MCV_MP1_BCFI_MN432490.1_00123
OG0000021	Rana_FV3_NC_005946.1_00087	MCV_MP1_BCFI_MN432490.1_00035
OG0000022	Rana_FV3_NC_005946.1_00038	MCV_MP1_BCFI_MN432490.1_00005
OG0000023	Rana_FV3_NC_005946.1_00089	MCV_MP1_BCFI_MN432490.1_00046
OG0000024	Rana_FV3_NC_005946.1_00067	MCV_MP1_BCFI_MN432490.1_00028
OG0000026	Rana_FV3_NC_005946.1_00086	MCV_MP1_BCFI_MN432490.1_00111
OG0000027	Rana_FV3_NC_005946.1_00049	MCV_MP1_BCFI_MN432490.1_00090
OG0000028	Rana_FV3_NC_005946.1_00085	MCV_MP1_BCFI_MN432490.1_00049
OG0000112	Rana_FV3_NC_005946.1_00006	MCV_MP1_BCFI_MN432490.1_00082
