Orthogroup	L63545.1	ON743042.1
OG0000000	L63545.1_00007	ON743042.1_00031
OG0000001	L63545.1_00035	ON743042.1_00008
OG0000002	L63545.1_00079	ON743042.1_00007
OG0000003	L63545.1_00076	ON743042.1_00015
OG0000004	L63545.1_00001	ON743042.1_00113
OG0000005	L63545.1_00056	ON743042.1_00096
OG0000006	L63545.1_00093	ON743042.1_00077
OG0000007	L63545.1_00090	ON743042.1_00091
OG0000008	L63545.1_00108	ON743042.1_00030
OG0000009	L63545.1_00024	ON743042.1_00115
OG0000011	L63545.1_00069	ON743042.1_00065
OG0000012	L63545.1_00071	ON743042.1_00022
OG0000013	L63545.1_00004	ON743042.1_00059
OG0000014	L63545.1_00030	ON743042.1_00123
OG0000015	L63545.1_00110	ON743042.1_00124
OG0000016	L63545.1_00073	ON743042.1_00088
OG0000017	L63545.1_00072	ON743042.1_00034
OG0000018	L63545.1_00068	ON743042.1_00108
OG0000019	L63545.1_00009	ON743042.1_00087
OG0000020	L63545.1_00098	ON743042.1_00032
OG0000021	L63545.1_00043	ON743042.1_00005
OG0000022	L63545.1_00013	ON743042.1_00036
OG0000023	L63545.1_00054	ON743042.1_00046
OG0000024	L63545.1_00015	ON743042.1_00027
OG0000026	L63545.1_00002	ON743042.1_00111
OG0000027	L63545.1_00058	ON743042.1_00089
OG0000028	L63545.1_00003	ON743042.1_00049
