Orthogroup	HF920637.1	AF303741.1
OG0000000	HF920637.1_00129	AF303741.1_00079
OG0000000	HF920637.1_00164	AF303741.1_00152
OG0000001	HF920637.1_00059	AF303741.1_00200, AF303741.1_00047
OG0000002	HF920637.1_00143	AF303741.1_00125
OG0000003	HF920637.1_00159	AF303741.1_00035
OG0000004	HF920637.1_00025	AF303741.1_00080
OG0000005	HF920637.1_00221	AF303741.1_00129
OG0000006	HF920637.1_00121	AF303741.1_00132
OG0000007	HF920637.1_00172	AF303741.1_00149
OG0000008	HF920637.1_00176, HF920637.1_00175	AF303741.1_00165
OG0000009	HF920637.1_00153	AF303741.1_00176
OG0000011	HF920637.1_00217	AF303741.1_00006
OG0000012	HF920637.1_00001	AF303741.1_00011
OG0000013	HF920637.1_00017	AF303741.1_00023
OG0000014	HF920637.1_00108	AF303741.1_00026
OG0000015	HF920637.1_00152	AF303741.1_00046
OG0000016	HF920637.1_00079	AF303741.1_00062
OG0000017	HF920637.1_00073	AF303741.1_00063
OG0000018	HF920637.1_00111	AF303741.1_00081
OG0000019	HF920637.1_00197	AF303741.1_00137
OG0000020	HF920637.1_00031	AF303741.1_00156
OG0000021	HF920637.1_00041	AF303741.1_00158
OG0000022	HF920637.1_00213	AF303741.1_00189
OG0000023	HF920637.1_00033	AF303741.1_00154
OG0000024	HF920637.1_00061	AF303741.1_00168
OG0000025	HF920637.1_00156	AF303741.1_00051
OG0000113	HF920637.1_00148	AF303741.1_00169
OG0000113	HF920637.1_00138	AF303741.1_00170
OG0000119	HF920637.1_00158, HF920637.1_00208, HF920637.1_00130	AF303741.1_00173
OG0000119	HF920637.1_00102	AF303741.1_00095
OG0000119	HF920637.1_00184	AF303741.1_00007
OG0000119	HF920637.1_00034	AF303741.1_00066
OG0000122	HF920637.1_00183	AF303741.1_00005, AF303741.1_00065
OG0000123	HF920637.1_00029	AF303741.1_00195
OG0000123	HF920637.1_00147, HF920637.1_00218	AF303741.1_00178, AF303741.1_00121
OG0000133	HF920637.1_00057	AF303741.1_00130
OG0000133	HF920637.1_00216	AF303741.1_00089
OG0000134	HF920637.1_00219	AF303741.1_00126
OG0000135	HF920637.1_00014	AF303741.1_00157
OG0000137	HF920637.1_00105	AF303741.1_00031
OG0000138	HF920637.1_00181	AF303741.1_00100, AF303741.1_00162
OG0000139	HF920637.1_00123	AF303741.1_00101
OG0000148	HF920637.1_00060	AF303741.1_00072
OG0000149	HF920637.1_00169	AF303741.1_00185
OG0000152	HF920637.1_00151	AF303741.1_00099, AF303741.1_00070
OG0000153	HF920637.1_00011	AF303741.1_00145
OG0000153	HF920637.1_00180	AF303741.1_00090
OG0000154	HF920637.1_00071	AF303741.1_00182
OG0000155	HF920637.1_00168	AF303741.1_00183
OG0000156	HF920637.1_00150	AF303741.1_00192
