Orthogroup	KF938901.1	MF599468.1
OG0000000	KF938901.1_00126	MF599468.1_00057, MF599468.1_00056
OG0000001	KF938901.1_00044	MF599468.1_00152
OG0000003	KF938901.1_00080	MF599468.1_00163
OG0000004	KF938901.1_00005	MF599468.1_00011
OG0000005	KF938901.1_00067	MF599468.1_00030
OG0000006	KF938901.1_00072	MF599468.1_00010
OG0000007	KF938901.1_00053	MF599468.1_00174
OG0000008	KF938901.1_00043	MF599468.1_00092
OG0000009	KF938901.1_00114	MF599468.1_00075
OG0000010	KF938901.1_00124	MF599468.1_00116
OG0000011	KF938901.1_00054	MF599468.1_00112
OG0000012	KF938901.1_00047	MF599468.1_00090
OG0000013	KF938901.1_00123	MF599468.1_00035
OG0000014	KF938901.1_00023	MF599468.1_00071
OG0000015	KF938901.1_00060	MF599468.1_00033
OG0000016	KF938901.1_00092	MF599468.1_00149
OG0000017	KF938901.1_00012	MF599468.1_00106
OG0000018	KF938901.1_00046	MF599468.1_00046
OG0000019	KF938901.1_00025	MF599468.1_00117
OG0000020	KF938901.1_00074	MF599468.1_00122
OG0000021	KF938901.1_00095	MF599468.1_00009
OG0000022	KF938901.1_00031	MF599468.1_00171
OG0000121	KF938901.1_00085, KF938901.1_00140	MF599468.1_00100, MF599468.1_00114
OG0000137	KF938901.1_00086	MF599468.1_00002
OG0000138	KF938901.1_00007	MF599468.1_00027
OG0000151	KF938901.1_00027	MF599468.1_00060
OG0000154	KF938901.1_00069	MF599468.1_00161
OG0000155	KF938901.1_00065	MF599468.1_00051
OG0000161	KF938901.1_00118	MF599468.1_00142
OG0000167	KF938901.1_00106	MF599468.1_00074
OG0000177	KF938901.1_00150	MF599468.1_00155
OG0000178	KF938901.1_00103	MF599468.1_00162
OG0000181	KF938901.1_00117	MF599468.1_00004
OG0000182	KF938901.1_00102	MF599468.1_00141
OG0000184	KF938901.1_00104	MF599468.1_00045
OG0000185	KF938901.1_00128	MF599468.1_00067
OG0000186	KF938901.1_00121	MF599468.1_00105
OG0000201	KF938901.1_00152	MF599468.1_00043
OG0000203	KF938901.1_00073	MF599468.1_00052, MF599468.1_00061
OG0000208	KF938901.1_00070	MF599468.1_00172
OG0000209	KF938901.1_00100	MF599468.1_00025
OG0000210	KF938901.1_00133	MF599468.1_00022
OG0000211	KF938901.1_00134	MF599468.1_00015
OG0000213	KF938901.1_00146	MF599468.1_00044
OG0000214	KF938901.1_00148	MF599468.1_00125
OG0000215	KF938901.1_00116	MF599468.1_00129
OG0000218	KF938901.1_00141	MF599468.1_00079
OG0000219	KF938901.1_00014	MF599468.1_00037
OG0000278	KF938901.1_00101	MF599468.1_00081
