Orthogroup	AF371960.1	L63545.1
OG0000000	AF371960.1_00031	L63545.1_00007
OG0000001	AF371960.1_00007	L63545.1_00079
OG0000003	AF371960.1_00008	L63545.1_00035
OG0000004	AF371960.1_00015	L63545.1_00076
OG0000005	AF371960.1_00030	L63545.1_00108
OG0000006	AF371960.1_00078	L63545.1_00093
OG0000007	AF371960.1_00092	L63545.1_00090
OG0000008	AF371960.1_00112	L63545.1_00001
OG0000009	AF371960.1_00113	L63545.1_00024
OG0000010	AF371960.1_00005	L63545.1_00043
OG0000011	AF371960.1_00021	L63545.1_00071
OG0000012	AF371960.1_00032	L63545.1_00098
OG0000013	AF371960.1_00034	L63545.1_00072
OG0000014	AF371960.1_00036	L63545.1_00013
OG0000015	AF371960.1_00057	L63545.1_00004
OG0000016	AF371960.1_00064	L63545.1_00069
OG0000017	AF371960.1_00088	L63545.1_00009
OG0000018	AF371960.1_00089	L63545.1_00073
OG0000019	AF371960.1_00107	L63545.1_00068
OG0000020	AF371960.1_00121	L63545.1_00030
OG0000021	AF371960.1_00122	L63545.1_00110
OG0000022	AF371960.1_00045	L63545.1_00054
OG0000023	AF371960.1_00096	L63545.1_00056
OG0000024	AF371960.1_00110	L63545.1_00002
OG0000026	AF371960.1_00090	L63545.1_00058
OG0000027	AF371960.1_00048	L63545.1_00003
