Orthogroup	KF938901.1	LS484712.1
OG0000000	KF938901.1_00126	LS484712.1_00114
OG0000001	KF938901.1_00044	LS484712.1_00142
OG0000003	KF938901.1_00080	LS484712.1_00095
OG0000004	KF938901.1_00005	LS484712.1_00187
OG0000005	KF938901.1_00067	LS484712.1_00248
OG0000006	KF938901.1_00072	LS484712.1_00040
OG0000007	KF938901.1_00053	LS484712.1_00234, LS484712.1_00050
OG0000009	KF938901.1_00114	LS484712.1_00130
OG0000010	KF938901.1_00124	LS484712.1_00096
OG0000011	KF938901.1_00054	LS484712.1_00200
OG0000012	KF938901.1_00047	LS484712.1_00188
OG0000013	KF938901.1_00123	LS484712.1_00240
OG0000014	KF938901.1_00023	LS484712.1_00194
OG0000015	KF938901.1_00060	LS484712.1_00143
OG0000016	KF938901.1_00092	LS484712.1_00203
OG0000017	KF938901.1_00012	LS484712.1_00192
OG0000018	KF938901.1_00046	LS484712.1_00048
OG0000019	KF938901.1_00025	LS484712.1_00053
OG0000020	KF938901.1_00074	LS484712.1_00202
OG0000021	KF938901.1_00095	LS484712.1_00135
OG0000022	KF938901.1_00031	LS484712.1_00117
OG0000125	KF938901.1_00115	LS484712.1_00198
OG0000137	KF938901.1_00086	LS484712.1_00057
OG0000138	KF938901.1_00007	LS484712.1_00197
OG0000147	KF938901.1_00094	LS484712.1_00149
OG0000148	KF938901.1_00048	LS484712.1_00251
OG0000154	KF938901.1_00069	LS484712.1_00133
OG0000155	KF938901.1_00065	LS484712.1_00063
OG0000177	KF938901.1_00150	LS484712.1_00184
OG0000178	KF938901.1_00103	LS484712.1_00195
OG0000179	KF938901.1_00112	LS484712.1_00211
OG0000181	KF938901.1_00117	LS484712.1_00140
OG0000182	KF938901.1_00102	LS484712.1_00116
OG0000185	KF938901.1_00128	LS484712.1_00212
OG0000186	KF938901.1_00121	LS484712.1_00112
OG0000202	KF938901.1_00008	LS484712.1_00120
OG0000204	KF938901.1_00010	LS484712.1_00163
OG0000205	KF938901.1_00075	LS484712.1_00113
OG0000207	KF938901.1_00077	LS484712.1_00060
OG0000212	KF938901.1_00113	LS484712.1_00106
OG0000216	KF938901.1_00063	LS484712.1_00196
OG0000217	KF938901.1_00139	LS484712.1_00224
OG0000271	KF938901.1_00050	LS484712.1_00207
OG0000273	KF938901.1_00125	LS484712.1_00256
OG0000280	KF938901.1_00083	LS484712.1_00206
OG0000282	KF938901.1_00013	LS484712.1_00201
