Orthogroup	MCV_Unlassified_OL310752.1	Decap_MF599468.1
OG0000000	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108	Decap_MF599468.1_00057, Decap_MF599468.1_00056
OG0000001	MCV_Unlassified_OL310752.1_00019	Decap_MF599468.1_00152
OG0000002	MCV_Unlassified_OL310752.1_00018	Decap_MF599468.1_00163
OG0000003	MCV_Unlassified_OL310752.1_00012	Decap_MF599468.1_00011
OG0000004	MCV_Unlassified_OL310752.1_00060	Decap_MF599468.1_00092
OG0000005	MCV_Unlassified_OL310752.1_00042	Decap_MF599468.1_00174
OG0000006	MCV_Unlassified_OL310752.1_00107	Decap_MF599468.1_00030
OG0000007	MCV_Unlassified_OL310752.1_00078	Decap_MF599468.1_00010
OG0000008	MCV_Unlassified_OL310752.1_00116	Decap_MF599468.1_00075
OG0000009	MCV_Unlassified_OL310752.1_00036	Decap_MF599468.1_00154
OG0000011	MCV_Unlassified_OL310752.1_00046	Decap_MF599468.1_00106
OG0000012	MCV_Unlassified_OL310752.1_00083	Decap_MF599468.1_00071
OG0000013	MCV_Unlassified_OL310752.1_00065	Decap_MF599468.1_00117
OG0000014	MCV_Unlassified_OL310752.1_00045	Decap_MF599468.1_00046
OG0000015	MCV_Unlassified_OL310752.1_00114	Decap_MF599468.1_00090
OG0000016	MCV_Unlassified_OL310752.1_00004	Decap_MF599468.1_00112
OG0000017	MCV_Unlassified_OL310752.1_00096	Decap_MF599468.1_00033
OG0000018	MCV_Unlassified_OL310752.1_00071	Decap_MF599468.1_00122
OG0000019	MCV_Unlassified_OL310752.1_00027	Decap_MF599468.1_00149
OG0000020	MCV_Unlassified_OL310752.1_00072	Decap_MF599468.1_00009
OG0000021	MCV_Unlassified_OL310752.1_00085	Decap_MF599468.1_00035
OG0000022	MCV_Unlassified_OL310752.1_00021	Decap_MF599468.1_00116
OG0000023	MCV_Unlassified_OL310752.1_00052	Decap_MF599468.1_00171
OG0000026	MCV_Unlassified_OL310752.1_00062	Decap_MF599468.1_00039
OG0000035	MCV_Unlassified_OL310752.1_00022	Decap_MF599468.1_00013
OG0000065	MCV_Unlassified_OL310752.1_00033	Decap_MF599468.1_00131
