Orthogroup	AY779031.1	HF920637.1
OG0000000	AY779031.1_00034	HF920637.1_00129, HF920637.1_00164
OG0000001	AY779031.1_00007	HF920637.1_00143
OG0000003	AY779031.1_00008	HF920637.1_00059
OG0000004	AY779031.1_00015, AY779031.1_00016	HF920637.1_00159
OG0000005	AY779031.1_00033	HF920637.1_00176, HF920637.1_00175
OG0000006	AY779031.1_00083	HF920637.1_00121
OG0000007	AY779031.1_00098	HF920637.1_00172
OG0000008	AY779031.1_00121	HF920637.1_00025
OG0000009	AY779031.1_00122	HF920637.1_00153
OG0000010	AY779031.1_00005	HF920637.1_00041
OG0000011	AY779031.1_00023	HF920637.1_00001
OG0000012	AY779031.1_00035	HF920637.1_00031
OG0000013	AY779031.1_00037	HF920637.1_00073
OG0000014	AY779031.1_00039	HF920637.1_00213
OG0000015	AY779031.1_00061	HF920637.1_00017
OG0000016	AY779031.1_00068	HF920637.1_00217
OG0000017	AY779031.1_00094	HF920637.1_00197
OG0000018	AY779031.1_00095	HF920637.1_00079
OG0000019	AY779031.1_00116	HF920637.1_00111
OG0000020	AY779031.1_00129	HF920637.1_00108
OG0000021	AY779031.1_00130	HF920637.1_00152
OG0000022	AY779031.1_00049	HF920637.1_00033
OG0000023	AY779031.1_00103	HF920637.1_00221
OG0000024	AY779031.1_00119	HF920637.1_00203
OG0000025	AY779031.1_00069	HF920637.1_00156
OG0000028	AY779031.1_00006	HF920637.1_00127
