Orthogroup	MF599468.1	AY532606.1
OG0000000	MF599468.1_00057, MF599468.1_00056	AY532606.1_00030
OG0000001	MF599468.1_00152	AY532606.1_00006
OG0000003	MF599468.1_00163	AY532606.1_00007
OG0000004	MF599468.1_00011	AY532606.1_00014
OG0000005	MF599468.1_00030	AY532606.1_00029
OG0000006	MF599468.1_00010	AY532606.1_00078
OG0000007	MF599468.1_00174	AY532606.1_00093
OG0000008	MF599468.1_00092	AY532606.1_00116, AY532606.1_00117
OG0000009	MF599468.1_00075	AY532606.1_00120, AY532606.1_00119
OG0000010	MF599468.1_00116	AY532606.1_00004
OG0000011	MF599468.1_00112	AY532606.1_00020
OG0000012	MF599468.1_00090	AY532606.1_00031
OG0000013	MF599468.1_00035	AY532606.1_00033
OG0000014	MF599468.1_00071	AY532606.1_00035
OG0000015	MF599468.1_00033	AY532606.1_00057
OG0000016	MF599468.1_00149	AY532606.1_00064
OG0000017	MF599468.1_00106	AY532606.1_00088
OG0000018	MF599468.1_00046	AY532606.1_00089
OG0000019	MF599468.1_00117	AY532606.1_00111
OG0000020	MF599468.1_00122	AY532606.1_00125
OG0000021	MF599468.1_00009	AY532606.1_00126
OG0000023	MF599468.1_00154	AY532606.1_00099, AY532606.1_00098
OG0000024	MF599468.1_00039	AY532606.1_00114
OG0000046	MF599468.1_00013	AY532606.1_00058
OG0000069	MF599468.1_00131	AY532606.1_00102
