	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	KX643370	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
Number of genes	204	123	141	127	131	125	123	120	178	221	123	158	121	152	281	175	120	120	124	121	124	120	122	124	135	145	136	125	122	127	125	97	135	122	123	124	123	125	133	120	123	125	123	122
Number of genes in orthogroups	165	123	96	124	127	125	123	118	153	174	123	133	121	139	122	109	118	120	124	121	124	120	122	124	135	133	135	124	122	126	125	71	133	122	123	124	123	125	133	120	123	125	122	122
Number of unassigned genes	39	0	45	3	4	0	0	2	25	47	0	25	0	13	159	66	2	0	0	0	0	0	0	0	0	12	1	1	0	1	0	26	2	0	0	0	0	0	0	0	0	0	1	0
Percentage of genes in orthogroups	80.9	100.0	68.1	97.6	96.9	100.0	100.0	98.3	86.0	78.7	100.0	84.2	100.0	91.4	43.4	62.3	98.3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	91.7	99.3	99.2	100.0	99.2	100.0	73.2	98.5	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.2	100.0
Percentage of unassigned genes	19.1	0.0	31.9	2.4	3.1	0.0	0.0	1.7	14.0	21.3	0.0	15.8	0.0	8.6	56.6	37.7	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3	0.7	0.8	0.0	0.8	0.0	26.8	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0
Number of orthogroups containing species	144	123	77	120	120	124	121	118	132	139	123	119	121	122	69	70	117	119	124	121	124	120	122	124	127	120	127	122	122	126	125	70	121	122	123	124	123	125	125	120	123	124	122	122
Percentage of orthogroups containing species	29.4	25.2	15.7	24.5	24.5	25.4	24.7	24.1	27.0	28.4	25.2	24.3	24.7	24.9	14.1	14.3	23.9	24.3	25.4	24.7	25.4	24.5	24.9	25.4	26.0	24.5	26.0	24.9	24.9	25.8	25.6	14.3	24.7	24.9	25.2	25.4	25.2	25.6	25.6	24.5	25.2	25.4	24.9	24.9
Number of species-specific orthogroups	0	0	5	0	0	0	0	0	0	4	0	0	0	0	18	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Number of genes in species-specific orthogroups	0	0	23	0	0	0	0	0	0	8	0	0	0	0	70	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Percentage of genes in species-specific orthogroups	0.0	0.0	16.3	0.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0	0.0	24.9	13.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0


