Orthogroup	GQ273492.1	KF938901.1
OG0000000	GQ273492.1_00030	KF938901.1_00126
OG0000001	GQ273492.1_00008	KF938901.1_00080
OG0000002	GQ273492.1_00007	KF938901.1_00044
OG0000003	GQ273492.1_00015	KF938901.1_00005
OG0000004	GQ273492.1_00108	KF938901.1_00043
OG0000005	GQ273492.1_00092	KF938901.1_00125
OG0000006	GQ273492.1_00073	KF938901.1_00072
OG0000007	GQ273492.1_00087	KF938901.1_00053
OG0000008	GQ273492.1_00029	KF938901.1_00067
OG0000009	GQ273492.1_00110	KF938901.1_00114
OG0000011	GQ273492.1_00063	KF938901.1_00092
OG0000012	GQ273492.1_00022	KF938901.1_00054
OG0000013	GQ273492.1_00056	KF938901.1_00060
OG0000014	GQ273492.1_00118	KF938901.1_00074
OG0000015	GQ273492.1_00119	KF938901.1_00095
OG0000016	GQ273492.1_00084	KF938901.1_00046
OG0000017	GQ273492.1_00033	KF938901.1_00123
OG0000018	GQ273492.1_00103	KF938901.1_00025
OG0000019	GQ273492.1_00083	KF938901.1_00012
OG0000020	GQ273492.1_00031	KF938901.1_00047
OG0000021	GQ273492.1_00005	KF938901.1_00124
OG0000022	GQ273492.1_00035	KF938901.1_00023
OG0000023	GQ273492.1_00044	KF938901.1_00031
OG0000024	GQ273492.1_00027	KF938901.1_00094
OG0000025	GQ273492.1_00064	KF938901.1_00093
