Orthogroup	AY532606.1	MF599468.1
OG0000000	AY532606.1_00030	MF599468.1_00057, MF599468.1_00056
OG0000001	AY532606.1_00007	MF599468.1_00163
OG0000002	AY532606.1_00006	MF599468.1_00152
OG0000003	AY532606.1_00014	MF599468.1_00011
OG0000004	AY532606.1_00116, AY532606.1_00117	MF599468.1_00092
OG0000005	AY532606.1_00099, AY532606.1_00098	MF599468.1_00154
OG0000006	AY532606.1_00078	MF599468.1_00010
OG0000007	AY532606.1_00093	MF599468.1_00174
OG0000008	AY532606.1_00029	MF599468.1_00030
OG0000009	AY532606.1_00120, AY532606.1_00119	MF599468.1_00075
OG0000011	AY532606.1_00064	MF599468.1_00149
OG0000012	AY532606.1_00020	MF599468.1_00112
OG0000013	AY532606.1_00057	MF599468.1_00033
OG0000014	AY532606.1_00125	MF599468.1_00122
OG0000015	AY532606.1_00126	MF599468.1_00009
OG0000016	AY532606.1_00089	MF599468.1_00046
OG0000017	AY532606.1_00033	MF599468.1_00035
OG0000018	AY532606.1_00111	MF599468.1_00117
OG0000019	AY532606.1_00088	MF599468.1_00106
OG0000020	AY532606.1_00031	MF599468.1_00090
OG0000021	AY532606.1_00004	MF599468.1_00116
OG0000022	AY532606.1_00035	MF599468.1_00071
OG0000026	AY532606.1_00114	MF599468.1_00039
OG0000047	AY532606.1_00058	MF599468.1_00013
OG0000069	AY532606.1_00102	MF599468.1_00131
