locus_tag	ftype	length_bp	gene	EC_number	COG	product
MW883599_00001	CDS	1137				hypothetical protein
MW883599_00002	CDS	456				hypothetical protein
MW883599_00003	CDS	294				hypothetical protein
MW883599_00004	CDS	492				hypothetical protein
MW883599_00005	CDS	561				hypothetical protein
MW883599_00006	CDS	306				hypothetical protein
MW883599_00007	CDS	1362	MCP			Major capsid protein
MW883599_00008	CDS	1458				hypothetical protein
MW883599_00009	CDS	1545				hypothetical protein
MW883599_00010	CDS	219				hypothetical protein
MW883599_00011	CDS	243				hypothetical protein
MW883599_00012	CDS	393				hypothetical protein
MW883599_00013	CDS	261				hypothetical protein
MW883599_00014	CDS	333				hypothetical protein
MW883599_00015	CDS	1386				hypothetical protein
MW883599_00016	CDS	294				hypothetical protein
MW883599_00017	CDS	942				hypothetical protein
MW883599_00018	CDS	792				hypothetical protein
MW883599_00019	CDS	588				hypothetical protein
MW883599_00020	CDS	333				hypothetical protein
MW883599_00021	CDS	192				hypothetical protein
MW883599_00022	CDS	2847				hypothetical protein
MW883599_00023	CDS	486				hypothetical protein
MW883599_00024	CDS	1500				hypothetical protein
MW883599_00025	CDS	159				hypothetical protein
MW883599_00026	CDS	309				hypothetical protein
MW883599_00027	CDS	180				hypothetical protein
MW883599_00028	CDS	393				hypothetical protein
MW883599_00029	CDS	786				hypothetical protein
MW883599_00030	CDS	324				hypothetical protein
MW883599_00031	CDS	897				hypothetical protein
MW883599_00032	CDS	3507				hypothetical protein
MW883599_00033	CDS	222				hypothetical protein
MW883599_00034	CDS	603				hypothetical protein
MW883599_00035	CDS	567				hypothetical protein
MW883599_00036	CDS	903				hypothetical protein
MW883599_00037	CDS	3135	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
MW883599_00038	CDS	1134				hypothetical protein
MW883599_00039	CDS	1026				hypothetical protein
MW883599_00040	CDS	1353				hypothetical protein
MW883599_00041	CDS	1437				hypothetical protein
MW883599_00042	CDS	873				hypothetical protein
MW883599_00043	CDS	1140				hypothetical protein
MW883599_00044	CDS	1293				hypothetical protein
MW883599_00045	CDS	594				hypothetical protein
MW883599_00046	CDS	363				hypothetical protein
MW883599_00047	CDS	801				hypothetical protein
MW883599_00048	CDS	915				hypothetical protein
MW883599_00049	CDS	684				hypothetical protein
MW883599_00050	CDS	249				hypothetical protein
MW883599_00051	CDS	210				hypothetical protein
MW883599_00052	CDS	345				hypothetical protein
MW883599_00053	CDS	171				hypothetical protein
MW883599_00054	CDS	429				hypothetical protein
MW883599_00055	CDS	453				hypothetical protein
MW883599_00056	CDS	192				hypothetical protein
MW883599_00057	CDS	927				hypothetical protein
MW883599_00058	CDS	927				hypothetical protein
MW883599_00059	CDS	648				hypothetical protein
MW883599_00060	CDS	261				hypothetical protein
MW883599_00061	CDS	300				hypothetical protein
MW883599_00062	CDS	666				hypothetical protein
