Orthogroup	BD143114.1	MT521409.1
OG0000000	BD143114.1_00045	MT521409.1_00103
OG0000001	BD143114.1_00068	MT521409.1_00081
OG0000002	BD143114.1_00123	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132
OG0000003	BD143114.1_00067	MT521409.1_00082
OG0000004	BD143114.1_00060	MT521409.1_00088
OG0000005	BD143114.1_00046	MT521409.1_00100
OG0000006	BD143114.1_00001	MT521409.1_00117
OG0000007	BD143114.1_00109	MT521409.1_00053
OG0000008	BD143114.1_00087	MT521409.1_00061
OG0000009	BD143114.1_00085	MT521409.1_00060
OG0000010	BD143114.1_00070	MT521409.1_00125
OG0000011	BD143114.1_00053	MT521409.1_00097
OG0000012	BD143114.1_00044	MT521409.1_00012
OG0000013	BD143114.1_00042	MT521409.1_00011
OG0000014	BD143114.1_00040	MT521409.1_00008
OG0000015	BD143114.1_00019	MT521409.1_00039
OG0000016	BD143114.1_00013	MT521409.1_00129
OG0000017	BD143114.1_00114	MT521409.1_00047
OG0000018	BD143114.1_00113	MT521409.1_00048
OG0000019	BD143114.1_00092	MT521409.1_00064
OG0000020	BD143114.1_00077	MT521409.1_00059
OG0000021	BD143114.1_00076	MT521409.1_00134
OG0000022	BD143114.1_00031	MT521409.1_00024
OG0000023	BD143114.1_00104	MT521409.1_00057
OG0000024	BD143114.1_00089	MT521409.1_00063
OG0000025	BD143114.1_00012	MT521409.1_00114
OG0000026	BD143114.1_00112	MT521409.1_00050
OG0000027	BD143114.1_00028	MT521409.1_00027
OG0000028	BD143114.1_00069	MT521409.1_00127
OG0000029	BD143114.1_00015	MT521409.1_00042
OG0000030	BD143114.1_00073	MT521409.1_00108
OG0000031	BD143114.1_00119	MT521409.1_00119
OG0000032	BD143114.1_00110, BD143114.1_00111	MT521409.1_00051
OG0000033	BD143114.1_00074, BD143114.1_00075	MT521409.1_00110
OG0000034	BD143114.1_00062	MT521409.1_00087
OG0000035	BD143114.1_00061	MT521409.1_00133
OG0000036	BD143114.1_00056	MT521409.1_00092
OG0000037	BD143114.1_00055	MT521409.1_00093
OG0000038	BD143114.1_00052	MT521409.1_00098
OG0000039	BD143114.1_00051	MT521409.1_00090
OG0000040	BD143114.1_00043	MT521409.1_00135
OG0000041	BD143114.1_00039	MT521409.1_00013
OG0000042	BD143114.1_00027	MT521409.1_00031
OG0000043	BD143114.1_00026	MT521409.1_00032
OG0000044	BD143114.1_00021	MT521409.1_00037
OG0000045	BD143114.1_00020	MT521409.1_00038
OG0000046	BD143114.1_00018	MT521409.1_00040
OG0000047	BD143114.1_00017	MT521409.1_00052
OG0000048	BD143114.1_00016	MT521409.1_00041
OG0000049	BD143114.1_00122	MT521409.1_00118
OG0000050	BD143114.1_00118	MT521409.1_00120
OG0000051	BD143114.1_00117	MT521409.1_00005
OG0000052	BD143114.1_00105	MT521409.1_00056
OG0000053	BD143114.1_00103	MT521409.1_00106
OG0000054	BD143114.1_00100	MT521409.1_00105
OG0000055	BD143114.1_00088	MT521409.1_00062
OG0000056	BD143114.1_00083	MT521409.1_00058
OG0000057	BD143114.1_00081	MT521409.1_00001
OG0000058	BD143114.1_00072	MT521409.1_00107
OG0000059	BD143114.1_00065	MT521409.1_00084
OG0000060	BD143114.1_00057	MT521409.1_00091
OG0000061	BD143114.1_00108	MT521409.1_00054
OG0000062	BD143114.1_00049	MT521409.1_00074
OG0000096	BD143114.1_00079	MT521409.1_00046
OG0000113	BD143114.1_00054	MT521409.1_00096
OG0000114	BD143114.1_00064	MT521409.1_00085
OG0000115	BD143114.1_00022	MT521409.1_00036
OG0000117	BD143114.1_00107	MT521409.1_00055
