Orthogroup	OQ475017.1	MF599468.1
OG0000000	OQ475017.1_00030	MF599468.1_00057, MF599468.1_00056
OG0000001	OQ475017.1_00007	MF599468.1_00152
OG0000003	OQ475017.1_00008	MF599468.1_00163
OG0000004	OQ475017.1_00015	MF599468.1_00011
OG0000005	OQ475017.1_00029	MF599468.1_00030
OG0000006	OQ475017.1_00073	MF599468.1_00010
OG0000007	OQ475017.1_00087	MF599468.1_00174
OG0000008	OQ475017.1_00110	MF599468.1_00092
OG0000009	OQ475017.1_00112	MF599468.1_00075
OG0000010	OQ475017.1_00005	MF599468.1_00116
OG0000011	OQ475017.1_00022	MF599468.1_00112
OG0000012	OQ475017.1_00031	MF599468.1_00090
OG0000013	OQ475017.1_00033	MF599468.1_00035
OG0000014	OQ475017.1_00035	MF599468.1_00071
OG0000015	OQ475017.1_00056	MF599468.1_00033
OG0000016	OQ475017.1_00062	MF599468.1_00149
OG0000017	OQ475017.1_00083	MF599468.1_00106
OG0000018	OQ475017.1_00084	MF599468.1_00046
OG0000019	OQ475017.1_00105	MF599468.1_00117
OG0000020	OQ475017.1_00120	MF599468.1_00122
OG0000021	OQ475017.1_00121	MF599468.1_00009
OG0000022	OQ475017.1_00044	MF599468.1_00171
OG0000023	OQ475017.1_00093	MF599468.1_00154
OG0000024	OQ475017.1_00108	MF599468.1_00039
OG0000046	OQ475017.1_00057	MF599468.1_00013
OG0000069	OQ475017.1_00096	MF599468.1_00131
