Orthogroup	Rana_SGIV_AY521625.1	Rana_FV3_NC_005946.1
OG0000000	Rana_SGIV_AY521625.1_00091	Rana_FV3_NC_005946.1_00010
OG0000001	Rana_SGIV_AY521625.1_00064	Rana_FV3_NC_005946.1_00091
OG0000002	Rana_SGIV_AY521625.1_00077	Rana_FV3_NC_005946.1_00053
OG0000003	Rana_SGIV_AY521625.1_00130	Rana_FV3_NC_005946.1_00057
OG0000004	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070	Rana_FV3_NC_005946.1_00028
OG0000005	Rana_SGIV_AY521625.1_00016	Rana_FV3_NC_005946.1_00002
OG0000006	Rana_SGIV_AY521625.1_00085	Rana_FV3_NC_005946.1_00095
OG0000007	Rana_SGIV_AY521625.1_00051	Rana_FV3_NC_005946.1_00042
OG0000008	Rana_SGIV_AY521625.1_00142	Rana_FV3_NC_005946.1_00092
OG0000009	Rana_SGIV_AY521625.1_00100	Rana_FV3_NC_005946.1_00014
OG0000011	Rana_SGIV_AY521625.1_00086	Rana_FV3_NC_005946.1_00094
OG0000012	Rana_SGIV_AY521625.1_00065	Rana_FV3_NC_005946.1_00061
OG0000013	Rana_SGIV_AY521625.1_00047	Rana_FV3_NC_005946.1_00023
OG0000014	Rana_SGIV_AY521625.1_00073	Rana_FV3_NC_005946.1_00082
OG0000015	Rana_SGIV_AY521625.1_00074	Rana_FV3_NC_005946.1_00083
OG0000016	Rana_SGIV_AY521625.1_00110	Rana_FV3_NC_005946.1_00060
OG0000017	Rana_SGIV_AY521625.1_00048	Rana_FV3_NC_005946.1_00022
OG0000018	Rana_SGIV_AY521625.1_00115	Rana_FV3_NC_005946.1_00016
OG0000019	Rana_SGIV_AY521625.1_00053	Rana_FV3_NC_005946.1_00011
OG0000020	Rana_SGIV_AY521625.1_00035	Rana_FV3_NC_005946.1_00021
OG0000021	Rana_SGIV_AY521625.1_00059	Rana_FV3_NC_005946.1_00087
OG0000022	Rana_SGIV_AY521625.1_00054	Rana_FV3_NC_005946.1_00038
OG0000023	Rana_SGIV_AY521625.1_00062	Rana_FV3_NC_005946.1_00089
OG0000024	Rana_SGIV_AY521625.1_00042	Rana_FV3_NC_005946.1_00067
OG0000026	Rana_SGIV_AY521625.1_00060	Rana_FV3_NC_005946.1_00086
OG0000027	Rana_SGIV_AY521625.1_00022	Rana_FV3_NC_005946.1_00049
OG0000113	Rana_SGIV_AY521625.1_00036	Rana_FV3_NC_005946.1_00020
OG0000133	Rana_SGIV_AY521625.1_00102	Rana_FV3_NC_005946.1_00079
OG0000134	Rana_SGIV_AY521625.1_00098	Rana_FV3_NC_005946.1_00001
OG0000137	Rana_SGIV_AY521625.1_00056	Rana_FV3_NC_005946.1_00039
OG0000148	Rana_SGIV_AY521625.1_00133	Rana_FV3_NC_005946.1_00054
OG0000150	Rana_SGIV_AY521625.1_00002	Rana_FV3_NC_005946.1_00052
OG0000152	Rana_SGIV_AY521625.1_00018	Rana_FV3_NC_005946.1_00044
OG0000156	Rana_SGIV_AY521625.1_00044	Rana_FV3_NC_005946.1_00063
OG0000160	Rana_SGIV_AY521625.1_00126	Rana_FV3_NC_005946.1_00075
OG0000165	Rana_SGIV_AY521625.1_00140	Rana_FV3_NC_005946.1_00029
OG0000166	Rana_SGIV_AY521625.1_00005	Rana_FV3_NC_005946.1_00026
OG0000168	Rana_SGIV_AY521625.1_00014	Rana_FV3_NC_005946.1_00004
OG0000177	Rana_SGIV_AY521625.1_00011	Rana_FV3_NC_005946.1_00033
OG0000205	Rana_SGIV_AY521625.1_00066	Rana_FV3_NC_005946.1_00062
OG0000234	Rana_SGIV_AY521625.1_00061	Rana_FV3_NC_005946.1_00088
OG0000235	Rana_SGIV_AY521625.1_00094	Rana_FV3_NC_005946.1_00096
OG0000237	Rana_SGIV_AY521625.1_00128	Rana_FV3_NC_005946.1_00073
OG0000238	Rana_SGIV_AY521625.1_00023	Rana_FV3_NC_005946.1_00051
OG0000239	Rana_SGIV_AY521625.1_00116	Rana_FV3_NC_005946.1_00015
OG0000299	Rana_SGIV_AY521625.1_00010	Rana_FV3_NC_005946.1_00034
OG0000448	Rana_SGIV_AY521625.1_00015	Rana_FV3_NC_005946.1_00003
OG0000449	Rana_SGIV_AY521625.1_00013	Rana_FV3_NC_005946.1_00005
OG0000450	Rana_SGIV_AY521625.1_00052	Rana_FV3_NC_005946.1_00012
OG0000451	Rana_SGIV_AY521625.1_00090	Rana_FV3_NC_005946.1_00013
OG0000452	Rana_SGIV_AY521625.1_00113	Rana_FV3_NC_005946.1_00017
OG0000453	Rana_SGIV_AY521625.1_00039	Rana_FV3_NC_005946.1_00018
OG0000455	Rana_SGIV_AY521625.1_00008	Rana_FV3_NC_005946.1_00035
OG0000456	Rana_SGIV_AY521625.1_00020	Rana_FV3_NC_005946.1_00047
OG0000457	Rana_SGIV_AY521625.1_00131	Rana_FV3_NC_005946.1_00056
OG0000458	Rana_SGIV_AY521625.1_00137	Rana_FV3_NC_005946.1_00058
OG0000459	Rana_SGIV_AY521625.1_00105	Rana_FV3_NC_005946.1_00059
OG0000460	Rana_SGIV_AY521625.1_00043	Rana_FV3_NC_005946.1_00064
OG0000461	Rana_SGIV_AY521625.1_00123	Rana_FV3_NC_005946.1_00069
OG0000462	Rana_SGIV_AY521625.1_00119	Rana_FV3_NC_005946.1_00072
OG0000463	Rana_SGIV_AY521625.1_00118	Rana_FV3_NC_005946.1_00076
OG0000464	Rana_SGIV_AY521625.1_00117	Rana_FV3_NC_005946.1_00077
OG0000465	Rana_SGIV_AY521625.1_00104	Rana_FV3_NC_005946.1_00080
OG0000466	Rana_SGIV_AY521625.1_00072	Rana_FV3_NC_005946.1_00081
OG0000467	Rana_SGIV_AY521625.1_00075	Rana_FV3_NC_005946.1_00084
OG0000468	Rana_SGIV_AY521625.1_00063	Rana_FV3_NC_005946.1_00090
