Orthogroup	L63545.1	MN803438.1
OG0000000	L63545.1_00007	MN803438.1_00124
OG0000001	L63545.1_00035	MN803438.1_00101, MN803438.1_00056
OG0000002	L63545.1_00079	MN803438.1_00023
OG0000003	L63545.1_00076	MN803438.1_00113
OG0000004	L63545.1_00001	MN803438.1_00104
OG0000005	L63545.1_00056	MN803438.1_00071
OG0000006	L63545.1_00093	MN803438.1_00142
OG0000007	L63545.1_00090	MN803438.1_00027
OG0000008	L63545.1_00108	MN803438.1_00106
OG0000009	L63545.1_00024	MN803438.1_00109
OG0000011	L63545.1_00069	MN803438.1_00049
OG0000012	L63545.1_00071	MN803438.1_00128
OG0000013	L63545.1_00004	MN803438.1_00007
OG0000014	L63545.1_00030	MN803438.1_00070
OG0000015	L63545.1_00110	MN803438.1_00046
OG0000016	L63545.1_00073	MN803438.1_00122
OG0000017	L63545.1_00072	MN803438.1_00035
OG0000018	L63545.1_00068	MN803438.1_00051
OG0000019	L63545.1_00009	MN803438.1_00097
OG0000020	L63545.1_00098	MN803438.1_00068
OG0000021	L63545.1_00043	MN803438.1_00089
OG0000022	L63545.1_00013	MN803438.1_00013
OG0000023	L63545.1_00054	MN803438.1_00077
OG0000024	L63545.1_00015	MN803438.1_00024
OG0000026	L63545.1_00002	MN803438.1_00126
OG0000027	L63545.1_00058	MN803438.1_00037
OG0000028	L63545.1_00003	MN803438.1_00054
OG0000113	L63545.1_00088	MN803438.1_00120
OG0000113	L63545.1_00051	MN803438.1_00107
OG0000113	L63545.1_00047	MN803438.1_00094
OG0000113	L63545.1_00050	MN803438.1_00125
OG0000113	L63545.1_00042	MN803438.1_00021, MN803438.1_00112
OG0000113	L63545.1_00005	MN803438.1_00012
OG0000134	L63545.1_00092	MN803438.1_00115
OG0000135	L63545.1_00016	MN803438.1_00006
OG0000137	L63545.1_00100	MN803438.1_00105
OG0000138	L63545.1_00023	MN803438.1_00137
OG0000151	L63545.1_00085	MN803438.1_00010
OG0000155	L63545.1_00012	MN803438.1_00135
OG0000158	L63545.1_00018	MN803438.1_00003
OG0000160	L63545.1_00055	MN803438.1_00078
OG0000161	L63545.1_00087	MN803438.1_00011, MN803438.1_00096
OG0000176	L63545.1_00066	MN803438.1_00028
OG0000177	L63545.1_00091	MN803438.1_00030
OG0000178	L63545.1_00048	MN803438.1_00092
OG0000182	L63545.1_00057	MN803438.1_00067
OG0000182	L63545.1_00059	MN803438.1_00038
OG0000182	L63545.1_00008	MN803438.1_00047
OG0000206	L63545.1_00106	MN803438.1_00044
OG0000210	L63545.1_00105	MN803438.1_00045
OG0000232	L63545.1_00025	MN803438.1_00110
OG0000233	L63545.1_00082	MN803438.1_00140
OG0000234	L63545.1_00021	MN803438.1_00008
OG0000235	L63545.1_00109	MN803438.1_00026
OG0000236	L63545.1_00022	MN803438.1_00136
OG0000237	L63545.1_00032	MN803438.1_00099
OG0000239	L63545.1_00102	MN803438.1_00053, MN803438.1_00103, MN803438.1_00064
OG0000291	L63545.1_00067	MN803438.1_00004
OG0000296	L63545.1_00095	MN803438.1_00133, MN803438.1_00072
OG0000412	L63545.1_00006	MN803438.1_00083
OG0000413	L63545.1_00010	MN803438.1_00001
OG0000414	L63545.1_00014	MN803438.1_00015
OG0000415	L63545.1_00017	MN803438.1_00002
OG0000416	L63545.1_00019	MN803438.1_00095
OG0000417	L63545.1_00020	MN803438.1_00079
OG0000418	L63545.1_00026	MN803438.1_00040
OG0000419	L63545.1_00028	MN803438.1_00025
OG0000420	L63545.1_00031	MN803438.1_00075
OG0000421	L63545.1_00034	MN803438.1_00102
OG0000422	L63545.1_00036	MN803438.1_00062
OG0000423	L63545.1_00037	MN803438.1_00063
OG0000424	L63545.1_00038	MN803438.1_00074
OG0000425	L63545.1_00039	MN803438.1_00019
OG0000426	L63545.1_00041	MN803438.1_00085
OG0000427	L63545.1_00044	MN803438.1_00088
OG0000428	L63545.1_00045	MN803438.1_00132
OG0000429	L63545.1_00046	MN803438.1_00131
OG0000430	L63545.1_00049	MN803438.1_00091
OG0000431	L63545.1_00052	MN803438.1_00114
OG0000432	L63545.1_00053	MN803438.1_00076
OG0000433	L63545.1_00060	MN803438.1_00032
OG0000434	L63545.1_00062	MN803438.1_00086
OG0000435	L63545.1_00065	MN803438.1_00031
OG0000436	L63545.1_00070	MN803438.1_00129
OG0000437	L63545.1_00074	MN803438.1_00033
OG0000438	L63545.1_00075	MN803438.1_00090
OG0000439	L63545.1_00077	MN803438.1_00043
OG0000440	L63545.1_00078	MN803438.1_00042
OG0000441	L63545.1_00080	MN803438.1_00017
OG0000442	L63545.1_00084	MN803438.1_00139
OG0000443	L63545.1_00086	MN803438.1_00057
OG0000444	L63545.1_00089	MN803438.1_00119
OG0000445	L63545.1_00094	MN803438.1_00073
OG0000446	L63545.1_00096	MN803438.1_00134
OG0000447	L63545.1_00097	MN803438.1_00034
OG0000448	L63545.1_00099	MN803438.1_00016
OG0000449	L63545.1_00101	MN803438.1_00141
OG0000450	L63545.1_00103	MN803438.1_00060
OG0000451	L63545.1_00104	MN803438.1_00059
OG0000452	L63545.1_00107	MN803438.1_00144
