Orthogroup	AF303741.1	MF599468.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MF599468.1_00057, MF599468.1_00056
OG0000001	AF303741.1_00200, AF303741.1_00047	MF599468.1_00163
OG0000002	AF303741.1_00125	MF599468.1_00152
OG0000003	AF303741.1_00035	MF599468.1_00011
OG0000004	AF303741.1_00080	MF599468.1_00092
OG0000005	AF303741.1_00129	MF599468.1_00154
OG0000006	AF303741.1_00132	MF599468.1_00010
OG0000007	AF303741.1_00149	MF599468.1_00174
OG0000008	AF303741.1_00165	MF599468.1_00030
OG0000009	AF303741.1_00176	MF599468.1_00075
OG0000011	AF303741.1_00006	MF599468.1_00149
OG0000012	AF303741.1_00011	MF599468.1_00112
OG0000013	AF303741.1_00023	MF599468.1_00033
OG0000014	AF303741.1_00026	MF599468.1_00122
OG0000015	AF303741.1_00046	MF599468.1_00009
OG0000016	AF303741.1_00062	MF599468.1_00046
OG0000017	AF303741.1_00063	MF599468.1_00035
OG0000018	AF303741.1_00081	MF599468.1_00117
OG0000019	AF303741.1_00137	MF599468.1_00106
OG0000020	AF303741.1_00156	MF599468.1_00090
OG0000021	AF303741.1_00158	MF599468.1_00116
OG0000022	AF303741.1_00189	MF599468.1_00071
OG0000023	AF303741.1_00154	MF599468.1_00171
OG0000113	AF303741.1_00169	MF599468.1_00036, MF599468.1_00045
OG0000113	AF303741.1_00170	MF599468.1_00096
OG0000122	AF303741.1_00005, AF303741.1_00065	MF599468.1_00055, MF599468.1_00091, MF599468.1_00103, MF599468.1_00128, MF599468.1_00023, MF599468.1_00038, MF599468.1_00070, MF599468.1_00145, MF599468.1_00101, MF599468.1_00024, MF599468.1_00104, MF599468.1_00029, MF599468.1_00099, MF599468.1_00100, MF599468.1_00114, MF599468.1_00102, MF599468.1_00054
OG0000134	AF303741.1_00126	MF599468.1_00002
OG0000135	AF303741.1_00157	MF599468.1_00027
OG0000138	AF303741.1_00100, AF303741.1_00162	MF599468.1_00051
OG0000148	AF303741.1_00072	MF599468.1_00161
OG0000155	AF303741.1_00183	MF599468.1_00074
OG0000156	AF303741.1_00192	MF599468.1_00142
OG0000166	AF303741.1_00056	MF599468.1_00141
OG0000168	AF303741.1_00076	MF599468.1_00004
OG0000169	AF303741.1_00087	MF599468.1_00162
OG0000170	AF303741.1_00091	MF599468.1_00067
OG0000171	AF303741.1_00096	MF599468.1_00105
OG0000172	AF303741.1_00105	MF599468.1_00081
OG0000173	AF303741.1_00117	MF599468.1_00098
OG0000174	AF303741.1_00179	MF599468.1_00155
OG0000185	AF303741.1_00003	MF599468.1_00129
OG0000186	AF303741.1_00004	MF599468.1_00022
OG0000187	AF303741.1_00015	MF599468.1_00079
OG0000188	AF303741.1_00017	MF599468.1_00037
OG0000189	AF303741.1_00085	MF599468.1_00025
OG0000191	AF303741.1_00104	MF599468.1_00052, MF599468.1_00061
OG0000192	AF303741.1_00112	MF599468.1_00043
OG0000194	AF303741.1_00136	MF599468.1_00015
OG0000196	AF303741.1_00148	MF599468.1_00172
OG0000197	AF303741.1_00150	MF599468.1_00044
OG0000199	AF303741.1_00161	MF599468.1_00065
OG0000200	AF303741.1_00174	MF599468.1_00016
OG0000204	AF303741.1_00197	MF599468.1_00125
OG0000283	AF303741.1_00077	MF599468.1_00072
OG0000288	AF303741.1_00202	MF599468.1_00107
