Orthogroup	HF920637	MT521409
OG0000000	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2	OM037668.1_00035 hypothetical protein
OG0000001	HF920637.1_00059 HF920637.1 - hypothetical protein translation	OM037668.1_00056 hypothetical protein
OG0000002	HF920637.1_00159 HF920637.1 - hypothetical protein translation	OM037668.1_00050 hypothetical protein
OG0000003	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation	SDDV_ORF038 Flap endonuclease
OG0000004	HF920637.1_00041 HF920637.1 - hypothetical protein translation	OM037668.1_00013 hypothetical protein
OG0000005	HF920637.1_00143 HF920637.1 - Major capsid protein translation	OM037668.1_00057 Major capsid protein
OG0000006	HF920637.1_00001 HF920637.1 - hypothetical protein translation	OM037668.1_00041 hypothetical protein
OG0000007	HF920637.1_00031 HF920637.1 - hypothetical protein translation	OM037668.1_00123 hypothetical protein
OG0000008	HF920637.1_00073 HF920637.1 - hypothetical protein translation	OM037668.1_00124 hypothetical protein
OG0000009	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000010	HF920637.1_00017 HF920637.1 - hypothetical protein translation	OM037668.1_00098 hypothetical protein
OG0000011	HF920637.1_00217 HF920637.1 - hypothetical protein translation	OM037668.1_00009 hypothetical protein
OG0000012	HF920637.1_00197 HF920637.1 - hypothetical protein translation	OM037668.1_00090 hypothetical protein
OG0000013	HF920637.1_00172 HF920637.1 - hypothetical protein translation	OM037668.1_00084 hypothetical protein
OG0000014	HF920637.1_00111 HF920637.1 - hypothetical protein translation	OM037668.1_00073 hypothetical protein
OG0000015	HF920637.1_00108 HF920637.1 - hypothetical protein translation	OM037668.1_00078 hypothetical protein
OG0000016	HF920637.1_00152 HF920637.1 - hypothetical protein translation	OM037668.1_00004 hypothetical protein
OG0000017	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000018	HF920637.1_00121 HF920637.1 - hypothetical protein translation	OM037668.1_00021 hypothetical protein
OG0000019	HF920637.1_00079 HF920637.1 - hypothetical protein translation	OM037668.1_00089 hypothetical protein
OG0000020	HF920637.1_00221 HF920637.1 - hypothetical protein translation	OM037668.1_00080 hypothetical protein
OG0000021	HF920637.1_00025 HF920637.1 - hypothetical protein translation	OM037668.1_00076 hypothetical protein
OG0000022	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation	OM037668.1_00113 hypothetical protein
OG0000023	HF920637.1_00153 HF920637.1 - hypothetical protein translation	OM037668.1_00077 hypothetical protein
OG0000024	HF920637.1_00156 HF920637.1 - hypothetical protein translation	OM037668.1_00024 hypothetical protein
OG0000136	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation	OM037668.1_00068 Thymidylate synthase
OG0000177	HF920637.1_00013 HF920637.1 - hypothetical protein translation	OM037668.1_00022 hypothetical protein
