Orthogroup	AF303741.1	AY779031.1
OG0000000	AF303741.1_00079, AF303741.1_00152	AY779031.1_00034
OG0000001	AF303741.1_00200, AF303741.1_00047	AY779031.1_00008
OG0000002	AF303741.1_00125	AY779031.1_00007
OG0000003	AF303741.1_00035	AY779031.1_00015, AY779031.1_00016
OG0000004	AF303741.1_00080	AY779031.1_00121
OG0000005	AF303741.1_00129	AY779031.1_00103
OG0000006	AF303741.1_00132	AY779031.1_00083
OG0000007	AF303741.1_00149	AY779031.1_00098
OG0000008	AF303741.1_00165	AY779031.1_00033
OG0000009	AF303741.1_00176	AY779031.1_00122
OG0000011	AF303741.1_00006	AY779031.1_00068
OG0000012	AF303741.1_00011	AY779031.1_00023
OG0000013	AF303741.1_00023	AY779031.1_00061
OG0000014	AF303741.1_00026	AY779031.1_00129
OG0000015	AF303741.1_00046	AY779031.1_00130
OG0000016	AF303741.1_00062	AY779031.1_00095
OG0000017	AF303741.1_00063	AY779031.1_00037
OG0000018	AF303741.1_00081	AY779031.1_00116
OG0000019	AF303741.1_00137	AY779031.1_00094
OG0000020	AF303741.1_00156	AY779031.1_00035
OG0000021	AF303741.1_00158	AY779031.1_00005
OG0000022	AF303741.1_00189	AY779031.1_00039
OG0000023	AF303741.1_00154	AY779031.1_00049
OG0000025	AF303741.1_00051	AY779031.1_00069
