Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Angelfish iridovirus AFIV-16, complete genome",Angelfish iridovirus AFIV-16,1771,1771,100%,0.0,98.60,111127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK689685.1?report=genbank&log$=nucltop&blast_rank=1&RID=6EEVS91S016"",""MK689685.1"")"
"Infectious spleen and kidney necrosis virus isolate TLIV-2011, complete genome",Infectious spleen and kidney necrosis virus,1769,1769,100%,0.0,98.60,111309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883593.1?report=genbank&log$=nucltop&blast_rank=2&RID=6EEVS91S016"",""MW883593.1"")"
"Infectious spleen and kidney necrosis virus isolate HGIV-2015, complete genome",Infectious spleen and kidney necrosis virus,1769,1769,100%,0.0,98.60,111138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883603.1?report=genbank&log$=nucltop&blast_rank=3&RID=6EEVS91S016"",""MW883603.1"")"
"Infectious spleen and kidney necrosis virus isolate EFIV-2018, complete genome",Infectious spleen and kidney necrosis virus,1769,1769,100%,0.0,98.60,111369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW273353.1?report=genbank&log$=nucltop&blast_rank=4&RID=6EEVS91S016"",""MW273353.1"")"
"Infectious spleen and kidney necrosis virus, complete genome",Infectious spleen and kidney necrosis virus,1769,1769,100%,0.0,98.60,111362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_003494.1?report=genbank&log$=nucltop&blast_rank=5&RID=6EEVS91S016"",""NC_003494.1"")"
"Infectious spleen and kidney necrosis virus isolate OGIV-PW-2018, complete genome",Infectious spleen and kidney necrosis virus,1769,1769,100%,0.0,98.60,111609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883606.1?report=genbank&log$=nucltop&blast_rank=6&RID=6EEVS91S016"",""MW883606.1"")"
"Infectious spleen and kidney necrosis virus isolate NS-2404, complete genome",Infectious spleen and kidney necrosis virus,1769,1769,100%,0.0,98.60,112192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PV683077.1?report=genbank&log$=nucltop&blast_rank=7&RID=6EEVS91S016"",""PV683077.1"")"
"Banggai cardinalfish iridovirus isolate BCIV/2017, complete genome",Banggai cardinalfish iridovirus,1769,1769,100%,0.0,98.60,111920,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT926123.1?report=genbank&log$=nucltop&blast_rank=8&RID=6EEVS91S016"",""MT926123.1"")"
"Infectious spleen and kidney necrosis virus isolate DGIV_2010, complete genome",Infectious spleen and kidney necrosis virus,1769,1769,100%,0.0,98.60,111092,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883604.1?report=genbank&log$=nucltop&blast_rank=9&RID=6EEVS91S016"",""MW883604.1"")"
"Infectious spleen and kidney necrosis virus isolate TLIV-2015, complete genome",Infectious spleen and kidney necrosis virus,1769,1769,100%,0.0,98.60,111014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883601.1?report=genbank&log$=nucltop&blast_rank=10&RID=6EEVS91S016"",""MW883601.1"")"
