Orthogroup	KF938901	MN803438
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	MN803438.1_00124 hypothetical protein
OG0000001	KF938901.1_00080 hypothetical protein	MN803438.1_00101 hypothetical protein
OG0000002	KF938901.1_00005 hypothetical protein	MN803438.1_00113 hypothetical protein
OG0000003	KF938901.1_00067 hypothetical protein	MN803438.1_00106 hypothetical protein
OG0000004	KF938901.1_00114 hypothetical protein	MN803438.1_00109 hypothetical protein
OG0000005	KF938901.1_00124 hypothetical protein	MN803438.1_00089 hypothetical protein
OG0000006	KF938901.1_00044 Major capsid protein	MN803438.1_00023 Major capsid protein
OG0000007	KF938901.1_00054 hypothetical protein	MN803438.1_00128 hypothetical protein
OG0000008	KF938901.1_00047 hypothetical protein	MN803438.1_00068 hypothetical protein
OG0000009	KF938901.1_00123 hypothetical protein	MN803438.1_00035 hypothetical protein
OG0000010	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2	MN803438.1_00013 hypothetical protein
OG0000011	KF938901.1_00060 hypothetical protein	MN803438.1_00007 hypothetical protein
OG0000012	KF938901.1_00092 hypothetical protein	MN803438.1_00049 hypothetical protein
OG0000013	KF938901.1_00012 hypothetical protein	MN803438.1_00097 hypothetical protein
OG0000014	KF938901.1_00053 hypothetical protein	MN803438.1_00027 hypothetical protein
OG0000015	KF938901.1_00025 hypothetical protein	MN803438.1_00051 hypothetical protein
OG0000016	KF938901.1_00074 hypothetical protein	MN803438.1_00070 hypothetical protein
OG0000017	KF938901.1_00095 hypothetical protein	MN803438.1_00046 hypothetical protein
OG0000018	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	MN803438.1_00024 hypothetical protein
OG0000019	KF938901.1_00072 hypothetical protein	MN803438.1_00142 hypothetical protein
OG0000020	KF938901.1_00046 hypothetical protein	MN803438.1_00122 hypothetical protein
OG0000021	KF938901.1_00125 hypothetical protein	MN803438.1_00071 hypothetical protein
OG0000022	KF938901.1_00043 hypothetical protein	MN803438.1_00104 hypothetical protein
OG0000132	KF938901.1_00086 hypothetical protein	MN803438.1_00115 hypothetical protein
OG0000134	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit
OG0000135	KF938901.1_00065 hypothetical protein	MN803438.1_00137 hypothetical protein
OG0000136	KF938901.1_00108 Thymidylate synthase	MN803438.1_00005 Thymidylate synthase
OG0000141	KF938901.1_00007 hypothetical protein	MN803438.1_00006 hypothetical protein
OG0000148	KF938901.1_00106 hypothetical protein	MN803438.1_00135 hypothetical protein
OG0000152	KF938901.1_00027 hypothetical protein	MN803438.1_00003 hypothetical protein
OG0000170	KF938901.1_00017 hypothetical protein	MN803438.1_00028 hypothetical protein
OG0000172	KF938901.1_00009 hypothetical protein	MN803438.1_00092 hypothetical protein
OG0000200	KF938901.1_00137 hypothetical protein	MN803438.1_00045 hypothetical protein
