locus_tag	ftype	length_bp	gene	EC_number	COG	product
OR356116_00001	CDS	1137				hypothetical protein
OR356116_00002	CDS	456				hypothetical protein
OR356116_00003	CDS	306				hypothetical protein
OR356116_00004	CDS	492				hypothetical protein
OR356116_00005	CDS	561				hypothetical protein
OR356116_00006	CDS	306				hypothetical protein
OR356116_00007	CDS	1362	MCP			Major capsid protein
OR356116_00008	CDS	1458				hypothetical protein
OR356116_00009	CDS	1545				hypothetical protein
OR356116_00010	CDS	219				hypothetical protein
OR356116_00011	CDS	243				hypothetical protein
OR356116_00012	CDS	393				hypothetical protein
OR356116_00013	CDS	261				hypothetical protein
OR356116_00014	CDS	333				hypothetical protein
OR356116_00015	CDS	1386				hypothetical protein
OR356116_00016	CDS	294				hypothetical protein
OR356116_00017	CDS	942				hypothetical protein
OR356116_00018	CDS	792				hypothetical protein
OR356116_00019	CDS	588				hypothetical protein
OR356116_00020	CDS	333				hypothetical protein
OR356116_00021	CDS	2847				hypothetical protein
OR356116_00022	CDS	540				hypothetical protein
OR356116_00023	CDS	1500				hypothetical protein
OR356116_00024	CDS	159				hypothetical protein
OR356116_00025	CDS	309				hypothetical protein
OR356116_00026	CDS	180				hypothetical protein
OR356116_00027	CDS	393				hypothetical protein
OR356116_00028	CDS	741				hypothetical protein
OR356116_00029	CDS	324				hypothetical protein
OR356116_00030	CDS	897				hypothetical protein
OR356116_00031	CDS	3507				hypothetical protein
OR356116_00032	CDS	222				hypothetical protein
OR356116_00033	CDS	603				hypothetical protein
OR356116_00034	CDS	567				hypothetical protein
OR356116_00035	CDS	903				hypothetical protein
OR356116_00036	CDS	3135	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
OR356116_00037	CDS	1134				hypothetical protein
OR356116_00038	CDS	1026				hypothetical protein
OR356116_00039	CDS	1353				hypothetical protein
OR356116_00040	CDS	1437				hypothetical protein
OR356116_00041	CDS	873				hypothetical protein
OR356116_00042	CDS	1140				hypothetical protein
OR356116_00043	CDS	1293				hypothetical protein
OR356116_00044	CDS	594				hypothetical protein
OR356116_00045	CDS	363				hypothetical protein
OR356116_00046	CDS	801				hypothetical protein
OR356116_00047	CDS	915				hypothetical protein
OR356116_00048	CDS	684				hypothetical protein
OR356116_00049	CDS	264				hypothetical protein
OR356116_00050	CDS	345				hypothetical protein
OR356116_00051	CDS	171				hypothetical protein
OR356116_00052	CDS	429				hypothetical protein
OR356116_00053	CDS	453				hypothetical protein
OR356116_00054	CDS	192				hypothetical protein
OR356116_00055	CDS	927				hypothetical protein
OR356116_00056	CDS	927				hypothetical protein
OR356116_00057	CDS	648				hypothetical protein
OR356116_00058	CDS	261				hypothetical protein
OR356116_00059	CDS	300				hypothetical protein
OR356116_00060	CDS	510				hypothetical protein
OR356116_00061	CDS	804				hypothetical protein
OR356116_00062	CDS	3324				hypothetical protein
OR356116_00063	CDS	369				hypothetical protein
OR356116_00064	CDS	2649				hypothetical protein
OR356116_00065	CDS	1476				hypothetical protein
OR356116_00066	CDS	462				hypothetical protein
OR356116_00067	CDS	693				hypothetical protein
OR356116_00068	CDS	585				hypothetical protein
OR356116_00069	CDS	1434				hypothetical protein
OR356116_00070	CDS	666				hypothetical protein
OR356116_00071	CDS	477				hypothetical protein
OR356116_00072	CDS	1611				hypothetical protein
OR356116_00073	CDS	1005				hypothetical protein
OR356116_00074	CDS	420				hypothetical protein
OR356116_00075	CDS	1014				hypothetical protein
OR356116_00076	CDS	267				hypothetical protein
OR356116_00077	CDS	2973				hypothetical protein
OR356116_00078	CDS	1335				hypothetical protein
OR356116_00079	CDS	465				hypothetical protein
OR356116_00080	CDS	222				hypothetical protein
OR356116_00081	CDS	498				hypothetical protein
OR356116_00082	CDS	1107				hypothetical protein
OR356116_00083	CDS	360				hypothetical protein
OR356116_00084	CDS	105				hypothetical protein
OR356116_00085	CDS	912				hypothetical protein
OR356116_00086	CDS	603				hypothetical protein
OR356116_00087	CDS	465				hypothetical protein
OR356116_00088	CDS	771				hypothetical protein
OR356116_00089	CDS	414				hypothetical protein
OR356116_00090	CDS	1557				hypothetical protein
OR356116_00091	CDS	963				hypothetical protein
OR356116_00092	CDS	162				hypothetical protein
OR356116_00093	CDS	789				hypothetical protein
OR356116_00094	CDS	1161				hypothetical protein
OR356116_00095	CDS	738				hypothetical protein
OR356116_00096	CDS	492				hypothetical protein
OR356116_00097	CDS	324				hypothetical protein
OR356116_00098	CDS	546				hypothetical protein
OR356116_00099	CDS	516				hypothetical protein
OR356116_00100	CDS	1443				hypothetical protein
OR356116_00101	CDS	402				hypothetical protein
OR356116_00102	CDS	324				hypothetical protein
OR356116_00103	CDS	345				hypothetical protein
OR356116_00104	CDS	870				hypothetical protein
OR356116_00105	CDS	600				hypothetical protein
OR356116_00106	CDS	2766				hypothetical protein
OR356116_00107	CDS	156				hypothetical protein
OR356116_00108	CDS	891				hypothetical protein
OR356116_00109	CDS	744				hypothetical protein
OR356116_00110	CDS	504				hypothetical protein
OR356116_00111	CDS	2583				hypothetical protein
OR356116_00112	CDS	1011				hypothetical protein
OR356116_00113	CDS	1392				hypothetical protein
OR356116_00114	CDS	636				hypothetical protein
OR356116_00115	CDS	261				hypothetical protein
OR356116_00116	CDS	1320				hypothetical protein
OR356116_00117	CDS	510				hypothetical protein
OR356116_00118	CDS	651				hypothetical protein
OR356116_00119	CDS	720				hypothetical protein
OR356116_00120	CDS	372				hypothetical protein
OR356116_00121	CDS	687				hypothetical protein
