Orthogroup	MT986830.1	L63545.1
OG0000000	MT986830.1_00033	L63545.1_00007
OG0000001	MT986830.1_00008	L63545.1_00035
OG0000002	MT986830.1_00007	L63545.1_00079
OG0000003	MT986830.1_00015	L63545.1_00076
OG0000004	MT986830.1_00116	L63545.1_00001
OG0000005	MT986830.1_00100	L63545.1_00056
OG0000006	MT986830.1_00080	L63545.1_00093
OG0000007	MT986830.1_00094	L63545.1_00090
OG0000008	MT986830.1_00032	L63545.1_00108
OG0000009	MT986830.1_00117	L63545.1_00024
OG0000011	MT986830.1_00065	L63545.1_00069
OG0000012	MT986830.1_00022	L63545.1_00071
OG0000013	MT986830.1_00059	L63545.1_00004
OG0000014	MT986830.1_00125	L63545.1_00030
OG0000015	MT986830.1_00126	L63545.1_00110
OG0000016	MT986830.1_00091	L63545.1_00073
OG0000017	MT986830.1_00036	L63545.1_00072
OG0000018	MT986830.1_00111	L63545.1_00068
OG0000019	MT986830.1_00090	L63545.1_00009
OG0000020	MT986830.1_00034	L63545.1_00098
OG0000021	MT986830.1_00005	L63545.1_00043
OG0000022	MT986830.1_00038	L63545.1_00013
OG0000023	MT986830.1_00046	L63545.1_00054
OG0000024	MT986830.1_00029	L63545.1_00015
OG0000026	MT986830.1_00114	L63545.1_00002
OG0000027	MT986830.1_00092	L63545.1_00058
OG0000028	MT986830.1_00049	L63545.1_00003
